,train_losses,valid_losses
0,"({'mean_absolute_error': 5.53833259186121}, {'mean_absolute_error': [10.205616173525724, 5.928589260212558, 0.4807923418453508]})","({'mean_absolute_error': 6.043759067476038}, {'mean_absolute_error': [11.508148797589579, 6.162428927122114, 0.4606994777164211]})"
1,"({'mean_absolute_error': 3.6354210876164683}, {'mean_absolute_error': [8.229759820967137, 2.5365728944320125, 0.13993054745025582]})","({'mean_absolute_error': 4.2109641640714495}, {'mean_absolute_error': [10.204407680707478, 2.298575338232821, 0.12990947327404886]})"
2,"({'mean_absolute_error': 3.8647891439215383}, {'mean_absolute_error': [9.397575733931543, 2.0165929940552365, 0.18019870377783476]})","({'mean_absolute_error': 4.115005969341123}, {'mean_absolute_error': [10.017930338631313, 2.1694065801069105, 0.1576809892851451]})"
3,"({'mean_absolute_error': 2.8666795661263564}, {'mean_absolute_error': [6.492256779491811, 1.9691101574383045, 0.13867176144895485]})","({'mean_absolute_error': 3.4882796019560716}, {'mean_absolute_error': [8.086126713501542, 2.231429707657089, 0.1472823847095835]})"
4,"({'mean_absolute_error': 2.793539202718762}, {'mean_absolute_error': [6.021477643119247, 2.259975320506507, 0.09916464453053471]})","({'mean_absolute_error': 3.1782209092996894}, {'mean_absolute_error': [7.4803782706670345, 1.9581056679983342, 0.09617878923369966]})"
5,"({'mean_absolute_error': 2.9373427482981085}, {'mean_absolute_error': [6.7667839452513245, 1.957612997012401, 0.08763130263060041]})","({'mean_absolute_error': 3.276790208685622}, {'mean_absolute_error': [7.470508446506068, 2.268633061789078, 0.0912291177617206]})"
6,"({'mean_absolute_error': 2.414441878950282}, {'mean_absolute_error': [5.353227076960808, 1.7946891580191917, 0.09540940187084576]})","({'mean_absolute_error': 2.9116097239358605}, {'mean_absolute_error': [6.863985921558444, 1.7755766911395767, 0.09526655910955954]})"
7,"({'mean_absolute_error': 2.312075908524276}, {'mean_absolute_error': [5.073538275996326, 1.768462086697313, 0.09422736287918854]})","({'mean_absolute_error': 2.8319165122348458}, {'mean_absolute_error': [6.3731908720226125, 2.0229480056236167, 0.09961065905830728]})"
8,"({'mean_absolute_error': 2.2342030348669977}, {'mean_absolute_error': [4.943117837820846, 1.6747970031363895, 0.08469426364375787]})","({'mean_absolute_error': 2.6453959071527517}, {'mean_absolute_error': [6.156696652046751, 1.6927695730810475, 0.0867214963304566]})"
9,"({'mean_absolute_error': 2.1295536652057474}, {'mean_absolute_error': [4.724961907232005, 1.5854767082553474, 0.07822238012989072]})","({'mean_absolute_error': 2.6286319607490536}, {'mean_absolute_error': [6.042050328142401, 1.761348247688108, 0.0824973064166511]})"
10,"({'mean_absolute_error': 2.0741898343018748}, {'mean_absolute_error': [4.577368300878962, 1.567795872899356, 0.07740532912730613]})","({'mean_absolute_error': 2.551062047133866}, {'mean_absolute_error': [5.916447462137748, 1.6552254979386327, 0.08151318132521744]})"
11,"({'mean_absolute_error': 2.0211921430075246}, {'mean_absolute_error': [4.453263794272348, 1.5341465006840727, 0.07616613406615214]})","({'mean_absolute_error': 2.4972306325449853}, {'mean_absolute_error': [5.7556766696447825, 1.6548658906762825, 0.08114933731389072]})"
12,"({'mean_absolute_error': 1.9490137390062834}, {'mean_absolute_error': [4.263458399133756, 1.5079698114539681, 0.07561300643112548]})","({'mean_absolute_error': 2.4276437295546995}, {'mean_absolute_error': [5.562558757127723, 1.638284483929682, 0.0820879476066939]})"
13,"({'mean_absolute_error': 1.9874830903572354}, {'mean_absolute_error': [4.4027155077971205, 1.4879270194246674, 0.07180674384991838]})","({'mean_absolute_error': 2.385728453881344}, {'mean_absolute_error': [5.429275567985583, 1.6500928784529147, 0.07781691520553467]})"
14,"({'mean_absolute_error': 1.8884888414528704}, {'mean_absolute_error': [4.127700552462239, 1.4668153435821423, 0.07095062831423024]})","({'mean_absolute_error': 2.2953878933440364}, {'mean_absolute_error': [5.23278490875621, 1.575682049778428, 0.0776967214974702]})"
15,"({'mean_absolute_error': 1.8409814847981714}, {'mean_absolute_error': [4.001352548510371, 1.451877567936128, 0.06971433794801499]})","({'mean_absolute_error': 2.2520274588501588}, {'mean_absolute_error': [5.111797208657642, 1.5679177362700407, 0.07636743162279315]})"
16,"({'mean_absolute_error': 1.7881331842146226}, {'mean_absolute_error': [3.8623444876263817, 1.4328813432472294, 0.06917372177025703]})","({'mean_absolute_error': 2.2444743094827158}, {'mean_absolute_error': [5.09514134183135, 1.5622380769493407, 0.07604350966745681]})"
17,"({'mean_absolute_error': 1.8349326727404767}, {'mean_absolute_error': [4.0110893274690795, 1.4237253505834997, 0.06998334016885073]})","({'mean_absolute_error': 2.24038021008544}, {'mean_absolute_error': [5.100788958486519, 1.5424202511046905, 0.07793142066511095]})"
18,"({'mean_absolute_error': 1.7996289476709075}, {'mean_absolute_error': [3.92250012014566, 1.4077764093971366, 0.06861031346992623]})","({'mean_absolute_error': 2.2046994204469894}, {'mean_absolute_error': [5.001673192920831, 1.5369182931299132, 0.07550677529022402]})"
19,"({'mean_absolute_error': 1.6922298150273403}, {'mean_absolute_error': [3.6120961854151084, 1.3970669373149673, 0.06752632235194538]})","({'mean_absolute_error': 2.133857800797702}, {'mean_absolute_error': [4.803784146426501, 1.523048726146902, 0.07474052981970221]})"
20,"({'mean_absolute_error': 1.725284600265513}, {'mean_absolute_error': [3.7154449542223573, 1.3929064736232948, 0.06750237295088592]})","({'mean_absolute_error': 2.105534045239541}, {'mean_absolute_error': [4.739144079256589, 1.5022140350413193, 0.07524402142071487]})"
21,"({'mean_absolute_error': 1.7221923581384126}, {'mean_absolute_error': [3.7180214527221573, 1.3817720911182132, 0.06678353057486792]})","({'mean_absolute_error': 2.1051204613921004}, {'mean_absolute_error': [4.7193164730324755, 1.522103524729223, 0.07394138641460189]})"
22,"({'mean_absolute_error': 1.6974383088780234}, {'mean_absolute_error': [3.6095600286964227, 1.415484115181141, 0.06727078275650666]})","({'mean_absolute_error': 2.0653101449336133}, {'mean_absolute_error': [4.6618142283325055, 1.4590383743975, 0.07507783207083354]})"
23,"({'mean_absolute_error': 1.6531332667182628}, {'mean_absolute_error': [3.527359470794266, 1.365957379249516, 0.06608295011100623]})","({'mean_absolute_error': 2.062816550700116}, {'mean_absolute_error': [4.6132995785416835, 1.5028342831081218, 0.07231579045054297]})"
24,"({'mean_absolute_error': 1.6150161465021335}, {'mean_absolute_error': [3.411039184746466, 1.3678355792085375, 0.06617367555139692]})","({'mean_absolute_error': 1.9976901203171613}, {'mean_absolute_error': [4.493647978876247, 1.4265234791858559, 0.07289890288938111]})"
25,"({'mean_absolute_error': 1.7600267389456787}, {'mean_absolute_error': [3.866987332795396, 1.3460114335608528, 0.06708145048078762]})","({'mean_absolute_error': 2.0489956890443195}, {'mean_absolute_error': [4.59670219015066, 1.4786908730644885, 0.07159400391780975]})"
26,"({'mean_absolute_error': 1.6193955653825165}, {'mean_absolute_error': [3.455866526584367, 1.3372025368509797, 0.06511763271220289]})","({'mean_absolute_error': 1.9712386962534332}, {'mean_absolute_error': [4.384925974502162, 1.45723634556548, 0.07155376869265735]})"
27,"({'mean_absolute_error': 1.5946185757305074}, {'mean_absolute_error': [3.388583796624374, 1.3315026775805259, 0.06376925298662223]})","({'mean_absolute_error': 1.9473647178955786}, {'mean_absolute_error': [4.3360328885372565, 1.4360074559361646, 0.07005380921331472]})"
28,"({'mean_absolute_error': 1.6512229039581456}, {'mean_absolute_error': [3.569539401266314, 1.320354632702808, 0.06377467790531485]})","({'mean_absolute_error': 1.9837169524998755}, {'mean_absolute_error': [4.431306889658405, 1.449687127314681, 0.07015684052654088]})"
29,"({'mean_absolute_error': 1.5590796471145472}, {'mean_absolute_error': [3.2646450089354233, 1.3467185054644484, 0.06587542694376904]})","({'mean_absolute_error': 1.9310150353582225}, {'mean_absolute_error': [4.32204910648616, 1.398332670275569, 0.07266332931293805]})"
30,"({'mean_absolute_error': 1.6089277018227344}, {'mean_absolute_error': [3.439679834991894, 1.322455829804139, 0.06464744067217028]})","({'mean_absolute_error': 1.9673733911128084}, {'mean_absolute_error': [4.351964011790219, 1.4803442149381458, 0.06981194661006027]})"
31,"({'mean_absolute_error': 1.6160872984679022}, {'mean_absolute_error': [3.484472287414046, 1.3008707834485573, 0.06291882454110258]})","({'mean_absolute_error': 1.948874279938767}, {'mean_absolute_error': [4.343897793117884, 1.4337630863307598, 0.06896196036765642]})"
32,"({'mean_absolute_error': 1.5748022093312972}, {'mean_absolute_error': [3.34046043639209, 1.320092866411712, 0.06385332519008947]})","({'mean_absolute_error': 1.9071787789209864}, {'mean_absolute_error': [4.265671465816828, 1.3856771588294479, 0.07018771211668401]})"
33,"({'mean_absolute_error': 1.5505692147778996}, {'mean_absolute_error': [3.2722162704827373, 1.3163167210760378, 0.06317465277492264]})","({'mean_absolute_error': 1.893014076714912}, {'mean_absolute_error': [4.216583937196869, 1.3934516895812903, 0.06900660336657632]})"
34,"({'mean_absolute_error': 1.5620948340145961}, {'mean_absolute_error': [3.3346631914523663, 1.2877662294850536, 0.06385508110636821]})","({'mean_absolute_error': 1.8994943455956481}, {'mean_absolute_error': [4.214480743782651, 1.4145936128784142, 0.06940868012588021]})"
35,"({'mean_absolute_error': 1.5046871151992274}, {'mean_absolute_error': [3.148472068612099, 1.3023785308725793, 0.06321074611300444]})","({'mean_absolute_error': 1.8366252354559034}, {'mean_absolute_error': [4.080064082717226, 1.3608263954819984, 0.06898522816848515]})"
36,"({'mean_absolute_error': 1.5075889344082112}, {'mean_absolute_error': [3.1613318196563704, 1.298574604939679, 0.06286037862858446]})","({'mean_absolute_error': 1.829709488268276}, {'mean_absolute_error': [4.056766291633629, 1.3642475463333983, 0.06811462683780095]})"
