,train_losses,valid_losses
0,{'mean_absolute_error': 7.046967823999763},{'mean_absolute_error': 7.04948493493745}
1,{'mean_absolute_error': 2.9419105533461503},{'mean_absolute_error': 2.894347405235316}
2,{'mean_absolute_error': 2.207616739926363},{'mean_absolute_error': 2.0455400525937555}
3,{'mean_absolute_error': 2.0397711914747174},{'mean_absolute_error': 1.8646267127676683}
4,{'mean_absolute_error': 2.368278870961068},{'mean_absolute_error': 2.191376921099822}
5,{'mean_absolute_error': 1.9398624644055718},{'mean_absolute_error': 1.861093677663752}
6,{'mean_absolute_error': 1.9617488981605495},{'mean_absolute_error': 1.7765165938073995}
7,{'mean_absolute_error': 1.769356872287205},{'mean_absolute_error': 1.627842652524256}
8,{'mean_absolute_error': 1.9582650738363392},{'mean_absolute_error': 1.7595879940528052}
9,{'mean_absolute_error': 1.6857853601844932},{'mean_absolute_error': 1.4419272630404556}
10,{'mean_absolute_error': 1.6417174723008003},{'mean_absolute_error': 1.4125113430730312}
11,{'mean_absolute_error': 1.720322716406869},{'mean_absolute_error': 1.4833367342166452}
12,{'mean_absolute_error': 1.5830564787651817},{'mean_absolute_error': 1.3841629784075473}
13,{'mean_absolute_error': 1.5742549718228733},{'mean_absolute_error': 1.375375344032214}
14,{'mean_absolute_error': 1.5749077553501751},{'mean_absolute_error': 1.3668394591561945}
15,{'mean_absolute_error': 1.5517483959777911},{'mean_absolute_error': 1.3529246092863731}
16,{'mean_absolute_error': 1.571905311210413},{'mean_absolute_error': 1.3693603923652105}
17,{'mean_absolute_error': 1.461335311786499},{'mean_absolute_error': 1.337378112142129}
18,{'mean_absolute_error': 1.513510585427722},{'mean_absolute_error': 1.3000221995098535}
19,{'mean_absolute_error': 1.478093861267037},{'mean_absolute_error': 1.269853007548983}
20,{'mean_absolute_error': 1.479454175199914},{'mean_absolute_error': 1.2634526960163486}
21,{'mean_absolute_error': 1.4038155572435733},{'mean_absolute_error': 1.309062982086487}
22,{'mean_absolute_error': 1.5502472062787798},{'mean_absolute_error': 1.3319830021654808}
23,{'mean_absolute_error': 1.381168713734902},{'mean_absolute_error': 1.348169312414704}
24,{'mean_absolute_error': 1.5169801951994868},{'mean_absolute_error': 1.319946244407892}
25,{'mean_absolute_error': 1.3709084136216625},{'mean_absolute_error': 1.3493660290251628}
26,{'mean_absolute_error': 1.5135324515121682},{'mean_absolute_error': 1.3045081629395434}
27,{'mean_absolute_error': 1.3516625204261135},{'mean_absolute_error': 1.3232362246484137}
28,{'mean_absolute_error': 1.3678761514760545},{'mean_absolute_error': 1.2285174458300305}
29,{'mean_absolute_error': 1.417713615849825},{'mean_absolute_error': 1.2260237556105802}
30,{'mean_absolute_error': 1.330693057278478},{'mean_absolute_error': 1.2236850545505653}
