Running NEB!
Thu Sep 12 09:30:18 PDT 2019
      Step     Time          Energy         fmax
BFGS:    0 09:30:22    -1604.999148        0.0056
      Step     Time          Energy         fmax
BFGS:    0 09:30:22    -1604.911934        0.0067
Interpolation finished!
      Step     Time          Energy         fmax
BFGS:    0 09:30:29    -1600.239575        7.6682
BFGS:    1 09:30:36    -1600.927436        3.9734
BFGS:    2 09:30:43    -1601.608865        3.7199
BFGS:    3 09:30:49    -1602.123858        3.2912
BFGS:    4 09:30:54    -1602.560141        2.8172
BFGS:    5 09:31:01    -1602.946551        2.3445
BFGS:    6 09:31:07    -1603.214508        1.8921
BFGS:    7 09:31:13    -1603.426995        1.4862
BFGS:    8 09:31:19    -1603.603717        1.2057
BFGS:    9 09:31:24    -1603.747766        1.0258
BFGS:   10 09:31:31    -1603.858236        0.8019
BFGS:   11 09:31:36    -1603.944667        0.5861
BFGS:   12 09:31:43    -1604.018911        0.5480
BFGS:   13 09:31:49    -1604.092585        0.5420
BFGS:   14 09:31:55    -1604.174344        0.4830
BFGS:   15 09:32:02    -1604.268704        0.5914
BFGS:   16 09:32:09    -1604.293023        0.5618
BFGS:   17 09:32:15    -1604.307497        0.5776
BFGS:   18 09:32:21    -1604.325100        0.3660
BFGS:   19 09:32:27    -1604.343088        0.4410
BFGS:   20 09:32:33    -1604.353776        0.6450
BFGS:   21 09:32:39    -1604.365183        0.3616
BFGS:   22 09:32:45    -1604.376648        0.3393
BFGS:   23 09:32:50    -1604.390359        0.4462
BFGS:   24 09:32:55    -1604.405572        0.3841
BFGS:   25 09:33:01    -1604.411824        0.3391
BFGS:   26 09:33:07    -1604.413675        0.3631
BFGS:   27 09:33:13    -1604.416104        0.3655
BFGS:   28 09:33:19    -1604.419677        0.4321
BFGS:   29 09:33:25    -1604.427619        0.2819
BFGS:   30 09:33:31    -1604.436441        0.2516
BFGS:   31 09:33:36    -1604.444306        0.1562
BFGS:   32 09:33:43    -1604.450761        0.1860
BFGS:   33 09:33:49    -1604.454430        0.2007
BFGS:   34 09:33:55    -1604.457055        0.1389
BFGS:   35 09:34:01    -1604.459337        0.2303
BFGS:   36 09:34:07    -1604.460936        0.2132
BFGS:   37 09:34:13    -1604.462731        0.1479
BFGS:   38 09:34:19    -1604.464710        0.1155
BFGS:   39 09:34:25    -1604.465984        0.1273
BFGS:   40 09:34:31    -1604.466538        0.1262
BFGS:   41 09:34:38    -1604.465934        0.1549
BFGS:   42 09:34:44    -1604.465667        0.1273
BFGS:   43 09:34:49    -1604.465330        0.1505
BFGS:   44 09:34:56    -1604.465068        0.1731
