Running NEB!
Tue Sep 17 12:04:55 PDT 2019
      Step     Time          Energy         fmax
BFGS:    0 12:04:58    -1610.266051        0.0059
      Step     Time          Energy         fmax
BFGS:    0 12:04:58    -1610.196049        0.0066
Interpolation finished!
      Step     Time          Energy         fmax
BFGS:    0 12:05:04    -1605.932083       10.5599
BFGS:    1 12:05:09    -1607.174740        6.6643
BFGS:    2 12:05:15    -1607.780059        2.9963
BFGS:    3 12:05:21    -1608.154258        2.3698
BFGS:    4 12:05:27    -1608.366009        2.1691
BFGS:    5 12:05:33    -1608.534080        1.8414
BFGS:    6 12:05:39    -1608.696923        1.6366
BFGS:    7 12:05:44    -1608.858059        1.5877
BFGS:    8 12:05:48    -1609.034608        1.6127
BFGS:    9 12:05:54    -1609.200449        1.5620
BFGS:   10 12:05:57    -1609.342423        1.4530
BFGS:   11 12:06:03    -1609.424491        1.2757
BFGS:   12 12:06:09    -1609.471879        1.0552
BFGS:   13 12:06:15    -1609.515822        0.7852
BFGS:   14 12:06:20    -1609.559199        0.5408
BFGS:   15 12:06:25    -1609.602995        0.4850
BFGS:   16 12:06:30    -1609.648306        0.6178
BFGS:   17 12:06:33    -1609.694489        0.6342
BFGS:   18 12:06:40    -1609.738825        1.5728
BFGS:   19 12:06:46    -1609.761877        1.1189
BFGS:   20 12:06:52    -1609.777157        0.7719
BFGS:   21 12:06:58    -1609.793223        0.3698
BFGS:   22 12:07:04    -1609.810467        0.5830
BFGS:   23 12:07:08    -1609.808177        0.5622
BFGS:   24 12:07:14    -1609.803189        1.0679
BFGS:   25 12:07:19    -1609.808605        0.3314
BFGS:   26 12:07:25    -1609.816418        0.4130
BFGS:   27 12:07:29    -1609.822530        0.5151
BFGS:   28 12:07:32    -1609.821175        0.4056
BFGS:   29 12:07:37    -1609.818363        0.7822
BFGS:   30 12:07:41    -1609.822180        0.3592
BFGS:   31 12:07:47    -1609.828571        0.2722
BFGS:   32 12:07:53    -1609.831957        0.3294
BFGS:   33 12:07:57    -1609.832683        0.2017
BFGS:   34 12:08:02    -1609.832651        0.3793
BFGS:   35 12:08:08    -1609.832163        0.7967
BFGS:   36 12:08:12    -1609.834062        0.2338
BFGS:   37 12:08:16    -1609.837189        0.2188
BFGS:   38 12:08:22    -1609.838813        0.2603
BFGS:   39 12:08:27    -1609.839877        0.1805
BFGS:   40 12:08:31    -1609.840625        0.2925
BFGS:   41 12:08:37    -1609.841552        0.4108
BFGS:   42 12:08:42    -1609.842541        0.1470
BFGS:   43 12:08:47    -1609.843223        0.1620
BFGS:   44 12:08:52    -1609.843365        0.1453
BFGS:   45 12:08:57    -1609.843425        0.1257
BFGS:   46 12:09:02    -1609.843816        0.1433
BFGS:   47 12:09:05    -1609.844128        0.2074
BFGS:   48 12:09:10    -1609.843587        0.3011
BFGS:   49 12:09:16    -1609.843064        0.1666
BFGS:   50 12:09:21    -1609.843099        0.1229
BFGS:   51 12:09:27    -1609.842625        0.0882
BFGS:   52 12:09:31    -1609.841980        0.1142
BFGS:   53 12:09:37    -1609.841354        0.1331
BFGS:   54 12:09:41    -1609.840794        0.3633
BFGS:   55 12:09:47    -1609.840243        0.2730
BFGS:   56 12:09:50    -1609.841184        0.0860
BFGS:   57 12:09:56    -1609.841689        0.0984
BFGS:   58 12:10:02    -1609.841127        0.1084
BFGS:   59 12:10:08    -1609.839927        0.0842
BFGS:   60 12:10:13    -1609.838434        0.0659
BFGS:   61 12:10:19    -1609.837757        0.0725
BFGS:   62 12:10:23    -1609.837376        0.0580
BFGS:   63 12:10:29    -1609.837175        0.0668
BFGS:   64 12:10:33    -1609.836611        0.0550
BFGS:   65 12:10:39    -1609.835791        0.0600
BFGS:   66 12:10:43    -1609.834928        0.0541
BFGS:   67 12:10:49    -1609.833993        0.0528
BFGS:   68 12:10:54    -1609.833200        0.0616
BFGS:   69 12:10:59    -1609.832612        0.0531
BFGS:   70 12:11:04    -1609.832391        0.0512
BFGS:   71 12:11:10    -1609.832110        0.0479
Neb Done!
Tue Sep 17 12:11:13 PDT 2019
