,train_losses (absolute mean error),valid_losses
0,7.046967824,7.049484935
1,2.941910553,2.894347405
2,2.20761674,2.045540053
3,2.039771191,1.864626713
4,2.368278871,2.191376921
5,1.939862464,1.861093678
6,1.961748898,1.776516594
7,1.769356872,1.627842653
8,1.958265074,1.759587994
9,1.68578536,1.441927263
10,1.641717472,1.412511343
11,1.720322716,1.483336734
12,1.583056479,1.384162978
13,1.574254972,1.375375344
14,1.574907755,1.366839459
15,1.551748396,1.352924609
16,1.571905311,1.369360392
17,1.461335312,1.337378112
18,1.513510585,1.3000222
19,1.478093861,1.269853008
20,1.479454175,1.263452696
21,1.403815557,1.309062982
22,1.550247206,1.331983002
23,1.381168714,1.348169312
24,1.516980195,1.319946244
25,1.370908414,1.349366029
26,1.513532452,1.304508163
27,1.35166252,1.323236225
28,1.367876151,1.228517446
29,1.417713616,1.226023756
30,1.330693057,1.223685055
31,1.361438936,1.217266054
32,1.312548422,1.24718834
33,1.314158758,1.244745272
34,1.297803508,1.250904322
35,1.366316503,1.221327923
36,1.302619838,1.293453524
37,1.418283997,1.235410778
38,1.283871611,1.249529834
39,1.297105928,1.216272975
40,1.275830494,1.247886029
41,1.327869076,1.209807353
42,1.268249517,1.253610423
43,1.258978556,1.247314309
44,1.346384436,1.187393847
45,1.26305913,1.193412967
46,1.278029547,1.193066085
47,1.257164453,1.197003367
48,1.3303258,1.171864777
49,1.263980425,1.174740198
50,1.246800134,1.221150738
51,1.249735992,1.20067974
52,1.270357097,1.168389956
53,1.24827766,1.190324404
54,1.310559085,1.157693133
55,1.240167939,1.193970047
56,1.254141637,1.162773271
57,1.256767338,1.178665362
58,1.242507921,1.202616389
59,1.252225675,1.166927438
60,1.230180738,1.199938753
61,1.281371742,1.164557233
62,1.237785625,1.258766458
63,1.297926366,1.164721534
64,1.249640202,1.241528246
65,1.28111981,1.161480135
66,1.247095334,1.167105401
67,1.257990037,1.159519138
68,1.252391342,1.162366011
69,1.222873554,1.226114874
70,1.311913087,1.148418179
71,1.228758207,1.242413761
72,1.223110431,1.174183934
73,1.244854036,1.147919889
74,1.222896072,1.196977837
75,1.231920786,1.140277684
76,1.22765848,1.158526571
77,1.237514052,1.149620762
78,1.223092382,1.149632393
79,1.229266713,1.141119449
80,1.217830926,1.182011008
81,1.264536378,1.1271613
82,1.224948607,1.158074947
83,1.221307536,1.221570839
84,1.286856321,1.128110097
85,1.235721621,1.24284932
86,1.248611529,1.135133628
87,1.244456381,1.135619084
