,train_losses,valid_losses
0,{'mean_absolute_error': 9.546789138813493},{'mean_absolute_error': 9.723561035092652}
1,{'mean_absolute_error': 8.399524063261659},{'mean_absolute_error': 7.819844835736963}
2,{'mean_absolute_error': 4.91022963050469},{'mean_absolute_error': 4.579713740403533}
3,{'mean_absolute_error': 3.83962549470565},{'mean_absolute_error': 3.4477362418129522}
4,{'mean_absolute_error': 3.7445883292891042},{'mean_absolute_error': 3.2987526156167895}
5,{'mean_absolute_error': 3.491391448685478},{'mean_absolute_error': 3.228438904282564}
6,{'mean_absolute_error': 3.168174895691911},{'mean_absolute_error': 2.8370132458184876}
7,{'mean_absolute_error': 2.955535485707482},{'mean_absolute_error': 2.6587712052017625}
8,{'mean_absolute_error': 2.8362369939183725},{'mean_absolute_error': 2.565074436228512}
9,{'mean_absolute_error': 2.7423528981622423},{'mean_absolute_error': 2.4982242754503283}
10,{'mean_absolute_error': 2.6561251692515717},{'mean_absolute_error': 2.4341558455063343}
11,{'mean_absolute_error': 2.5662562025988453},{'mean_absolute_error': 2.3437905799647147}
12,{'mean_absolute_error': 2.5225164117731755},{'mean_absolute_error': 2.344163111494341}
13,{'mean_absolute_error': 2.5412105780252734},{'mean_absolute_error': 2.38884671239142}
14,{'mean_absolute_error': 2.3342248990479715},{'mean_absolute_error': 2.1713128354285467}
15,{'mean_absolute_error': 2.2929778685631113},{'mean_absolute_error': 2.1449064591196003}
16,{'mean_absolute_error': 2.215409059447054},{'mean_absolute_error': 2.067913896240603}
17,{'mean_absolute_error': 2.1905020699318407},{'mean_absolute_error': 2.0553154058159513}
18,{'mean_absolute_error': 2.1224638240279683},{'mean_absolute_error': 2.0017357624097785}
19,{'mean_absolute_error': 2.1913630245171363},{'mean_absolute_error': 2.0765909561003366}
20,{'mean_absolute_error': 2.0409696156546753},{'mean_absolute_error': 1.915847803158722}
21,{'mean_absolute_error': 2.038658395847291},{'mean_absolute_error': 1.9186142253470866}
22,{'mean_absolute_error': 2.003225251331564},{'mean_absolute_error': 1.9071460243358347}
23,{'mean_absolute_error': 1.9399587942577898},{'mean_absolute_error': 1.851332426739542}
24,{'mean_absolute_error': 1.907489826631971},{'mean_absolute_error': 1.8174138020483073}
25,{'mean_absolute_error': 1.8958782678892214},{'mean_absolute_error': 1.8072102556898104}
26,{'mean_absolute_error': 1.8593446721651763},{'mean_absolute_error': 1.7712634865457464}
27,{'mean_absolute_error': 1.8358657390419453},{'mean_absolute_error': 1.7350288836910754}
28,{'mean_absolute_error': 1.9332874760961987},{'mean_absolute_error': 1.8078904431397949}
29,{'mean_absolute_error': 1.830475757666445},{'mean_absolute_error': 1.7246966707211018}
30,{'mean_absolute_error': 1.8342220107974905},{'mean_absolute_error': 1.7351287549998842}
31,{'mean_absolute_error': 1.8381929963068142},{'mean_absolute_error': 1.7298518104527403}
32,{'mean_absolute_error': 1.7835653449474653},{'mean_absolute_error': 1.688026046459285}
33,{'mean_absolute_error': 1.9356061666497233},{'mean_absolute_error': 1.824724320583014}
34,{'mean_absolute_error': 1.7672828180048732},{'mean_absolute_error': 1.6667113215346567}
35,{'mean_absolute_error': 1.9204730042094067},{'mean_absolute_error': 1.8215378068700956}
36,{'mean_absolute_error': 1.7373378286877934},{'mean_absolute_error': 1.6520038474736873}
37,{'mean_absolute_error': 1.7379129895567254},{'mean_absolute_error': 1.6238174602827906}
38,{'mean_absolute_error': 1.6676231484473798},{'mean_absolute_error': 1.5880885321314497}
39,{'mean_absolute_error': 1.665073960553858},{'mean_absolute_error': 1.5806961905971229}
40,{'mean_absolute_error': 1.6368602618366703},{'mean_absolute_error': 1.5567572775861247}
41,{'mean_absolute_error': 1.7212803308904536},{'mean_absolute_error': 1.6256819905417437}
42,{'mean_absolute_error': 1.6384439942689806},{'mean_absolute_error': 1.555334384792525}
43,{'mean_absolute_error': 1.6552179545393992},{'mean_absolute_error': 1.5552558927155948}
44,{'mean_absolute_error': 1.6780447624001356},{'mean_absolute_error': 1.5936875357539408}
45,{'mean_absolute_error': 1.607486589653841},{'mean_absolute_error': 1.5208101965550347}
46,{'mean_absolute_error': 1.6226904371071589},{'mean_absolute_error': 1.5327309025137925}
47,{'mean_absolute_error': 1.6291688745630062},{'mean_absolute_error': 1.5385811413102972}
48,{'mean_absolute_error': 1.5920575915056754},{'mean_absolute_error': 1.5010346754750794}
49,{'mean_absolute_error': 1.5724780199094217},{'mean_absolute_error': 1.4744890399378754}
50,{'mean_absolute_error': 1.6073741013939216},{'mean_absolute_error': 1.5205518606454207}
51,{'mean_absolute_error': 1.5526113744127257},{'mean_absolute_error': 1.4634182928383053}
52,{'mean_absolute_error': 1.5658746522322182},{'mean_absolute_error': 1.4772917911160628}
53,{'mean_absolute_error': 1.5513956721757676},{'mean_absolute_error': 1.4571131683108878}
54,{'mean_absolute_error': 1.6026967433013224},{'mean_absolute_error': 1.5109409001774121}
55,{'mean_absolute_error': 1.547400787260919},{'mean_absolute_error': 1.4563296492303988}
56,{'mean_absolute_error': 1.6075160510057005},{'mean_absolute_error': 1.5160999643501996}
57,{'mean_absolute_error': 1.5547491343893858},{'mean_absolute_error': 1.4602672991227026}
58,{'mean_absolute_error': 1.558740446233594},{'mean_absolute_error': 1.472904919288954}
59,{'mean_absolute_error': 1.5255644350705708},{'mean_absolute_error': 1.4303305198680951}
60,{'mean_absolute_error': 1.5130456881126284},{'mean_absolute_error': 1.4169843139268814}
61,{'mean_absolute_error': 1.6316419265508888},{'mean_absolute_error': 1.5530465460552503}
62,{'mean_absolute_error': 1.5076371985283517},{'mean_absolute_error': 1.411048012555381}
63,{'mean_absolute_error': 1.51756611258409},{'mean_absolute_error': 1.4276614636470875}
64,{'mean_absolute_error': 1.5577825177596294},{'mean_absolute_error': 1.4683000328828948}
65,{'mean_absolute_error': 1.4948470426819729},{'mean_absolute_error': 1.399324095792479}
66,{'mean_absolute_error': 1.5172651216643382},{'mean_absolute_error': 1.4230572031932818}
67,{'mean_absolute_error': 1.473050262767558},{'mean_absolute_error': 1.3831748721772958}
68,{'mean_absolute_error': 1.5158850003274635},{'mean_absolute_error': 1.4369446519741764}
69,{'mean_absolute_error': 1.494267546695691},{'mean_absolute_error': 1.4113114785895196}
70,{'mean_absolute_error': 1.477356133685542},{'mean_absolute_error': 1.3835441936356674}
71,{'mean_absolute_error': 1.472839498825153},{'mean_absolute_error': 1.3616110759049993}
72,{'mean_absolute_error': 1.508888820088193},{'mean_absolute_error': 1.3990406976618337}
73,{'mean_absolute_error': 1.5205287324213803},{'mean_absolute_error': 1.399864229824405}
74,{'mean_absolute_error': 1.5033842790259035},{'mean_absolute_error': 1.380915921796572}
75,{'mean_absolute_error': 1.4969567722326225},{'mean_absolute_error': 1.4006676514254455}
76,{'mean_absolute_error': 1.5561676462485172},{'mean_absolute_error': 1.4665608157802383}
77,{'mean_absolute_error': 1.4899955583525202},{'mean_absolute_error': 1.3514135863029935}
78,{'mean_absolute_error': 1.5045642531116836},{'mean_absolute_error': 1.3920386943163896}
79,{'mean_absolute_error': 1.4364920377862918},{'mean_absolute_error': 1.3062960155284102}
80,{'mean_absolute_error': 1.440271513743886},{'mean_absolute_error': 1.3282346843131614}
81,{'mean_absolute_error': 1.5549383702574244},{'mean_absolute_error': 1.4491746917552082}
82,{'mean_absolute_error': 1.4468894995668513},{'mean_absolute_error': 1.2976700643930503}
83,{'mean_absolute_error': 1.4561879980243904},{'mean_absolute_error': 1.297589557285172}
84,{'mean_absolute_error': 1.4567800534563553},{'mean_absolute_error': 1.328624101479716}
85,{'mean_absolute_error': 1.464414257648705},{'mean_absolute_error': 1.3475220904097913}
86,{'mean_absolute_error': 1.4212770692063932},{'mean_absolute_error': 1.2845116393060816}
87,{'mean_absolute_error': 1.4724474937558358},{'mean_absolute_error': 1.3593757536402806}
88,{'mean_absolute_error': 1.4449465349564201},{'mean_absolute_error': 1.3323502539742742}
89,{'mean_absolute_error': 1.4960848013815815},{'mean_absolute_error': 1.380681654894837}
90,{'mean_absolute_error': 1.4617321113759927},{'mean_absolute_error': 1.3358585408317898}
91,{'mean_absolute_error': 1.465018069837994},{'mean_absolute_error': 1.3513477812396582}
92,{'mean_absolute_error': 1.4072776260190736},{'mean_absolute_error': 1.2836172229254748}
93,{'mean_absolute_error': 1.4474795291080558},{'mean_absolute_error': 1.3478588527456619}
94,{'mean_absolute_error': 1.4325799985268366},{'mean_absolute_error': 1.3234958003742743}
95,{'mean_absolute_error': 1.477391708639961},{'mean_absolute_error': 1.3766946043203372}
96,{'mean_absolute_error': 1.402864622544074},{'mean_absolute_error': 1.2751396229430354}
97,{'mean_absolute_error': 1.6069417277498506},{'mean_absolute_error': 1.5024988492047149}
98,{'mean_absolute_error': 1.4347504063394838},{'mean_absolute_error': 1.3146144676248956}
99,{'mean_absolute_error': 1.4145903187125646},{'mean_absolute_error': 1.2826282118049224}
100,{'mean_absolute_error': 1.4699428462177755},{'mean_absolute_error': 1.3612259359142633}
101,{'mean_absolute_error': 1.4154569883217558},{'mean_absolute_error': 1.27580413805131}
102,{'mean_absolute_error': 1.453568947297745},{'mean_absolute_error': 1.3088930515371648}
103,{'mean_absolute_error': 1.4622162179525204},{'mean_absolute_error': 1.307285883524356}
104,{'mean_absolute_error': 1.3882982290360355},{'mean_absolute_error': 1.2548620220844118}
105,{'mean_absolute_error': 1.4596007217297478},{'mean_absolute_error': 1.3354864485437001}
106,{'mean_absolute_error': 1.4327127663701615},{'mean_absolute_error': 1.3063550118970584}
107,{'mean_absolute_error': 1.462633522704701},{'mean_absolute_error': 1.3480299362226738}
108,{'mean_absolute_error': 1.446257152934732},{'mean_absolute_error': 1.326689868615333}
109,{'mean_absolute_error': 1.4442207585422822},{'mean_absolute_error': 1.3227139207730536}
110,{'mean_absolute_error': 1.5170766045160466},{'mean_absolute_error': 1.3994643592594531}
111,{'mean_absolute_error': 1.414868899447528},{'mean_absolute_error': 1.253622174116827}
112,{'mean_absolute_error': 1.5363746498424253},{'mean_absolute_error': 1.4266668453013873}
113,{'mean_absolute_error': 1.379357193666843},{'mean_absolute_error': 1.2453429964786071}
114,{'mean_absolute_error': 1.4560857036824357},{'mean_absolute_error': 1.334978553234352}
115,{'mean_absolute_error': 1.396375300003463},{'mean_absolute_error': 1.2603975183738092}
116,{'mean_absolute_error': 1.4871721166451657},{'mean_absolute_error': 1.374008554306181}
117,{'mean_absolute_error': 1.4065104119593983},{'mean_absolute_error': 1.2683997877032203}
118,{'mean_absolute_error': 1.528980002991907},{'mean_absolute_error': 1.4088453061778523}
119,{'mean_absolute_error': 1.4795661719582498},{'mean_absolute_error': 1.3446066317336112}
120,{'mean_absolute_error': 1.4448224463567898},{'mean_absolute_error': 1.3075400326570905}
121,{'mean_absolute_error': 1.4056554833751262},{'mean_absolute_error': 1.2798778013392142}
122,{'mean_absolute_error': 1.4127161306226699},{'mean_absolute_error': 1.2808427472073372}
123,{'mean_absolute_error': 1.436130816565136},{'mean_absolute_error': 1.3084465899734155}
124,{'mean_absolute_error': 1.5194662319240082},{'mean_absolute_error': 1.3956666005909517}
125,{'mean_absolute_error': 1.477824409813171},{'mean_absolute_error': 1.3425611043476122}
126,{'mean_absolute_error': 1.4273474971920415},{'mean_absolute_error': 1.2931949922754449}
127,{'mean_absolute_error': 1.3858656716673583},{'mean_absolute_error': 1.2499351260846148}
128,{'mean_absolute_error': 1.4683607469473756},{'mean_absolute_error': 1.337469825296308}
129,{'mean_absolute_error': 1.3994519478449654},{'mean_absolute_error': 1.2582029217862536}
130,{'mean_absolute_error': 1.5598105979493948},{'mean_absolute_error': 1.4257607243024844}
131,{'mean_absolute_error': 1.4629343291124304},{'mean_absolute_error': 1.3163204051389514}
132,{'mean_absolute_error': 1.4899095746406894},{'mean_absolute_error': 1.345448560644214}
133,{'mean_absolute_error': 1.4212505147215386},{'mean_absolute_error': 1.291434530628835}
134,{'mean_absolute_error': 1.437020573102391},{'mean_absolute_error': 1.3221294057851671}
135,{'mean_absolute_error': 1.3871179522195447},{'mean_absolute_error': 1.263429634954243}
136,{'mean_absolute_error': 1.4731152777026766},{'mean_absolute_error': 1.3475118589389057}
137,{'mean_absolute_error': 1.4534196340204761},{'mean_absolute_error': 1.2885621120372786}
138,{'mean_absolute_error': 1.4478186464257183},{'mean_absolute_error': 1.3173366312030468}
139,{'mean_absolute_error': 1.5689354050706321},{'mean_absolute_error': 1.43275940117378}
140,{'mean_absolute_error': 1.4042886569193618},{'mean_absolute_error': 1.262906578289544}
141,{'mean_absolute_error': 1.4607774742590267},{'mean_absolute_error': 1.32448389711074}
142,{'mean_absolute_error': 1.3632662903515707},{'mean_absolute_error': 1.2159683655192821}
143,{'mean_absolute_error': 1.3960625636969068},{'mean_absolute_error': 1.24306146796742}
144,{'mean_absolute_error': 1.4272860408403518},{'mean_absolute_error': 1.2897095075644953}
145,{'mean_absolute_error': 1.3548106655827687},{'mean_absolute_error': 1.2125173745405522}
146,{'mean_absolute_error': 1.3905494156644123},{'mean_absolute_error': 1.2459023445998805}
147,{'mean_absolute_error': 1.447792233166085},{'mean_absolute_error': 1.3108535432850528}
148,{'mean_absolute_error': 1.4741970873552128},{'mean_absolute_error': 1.3220658902284657}
149,{'mean_absolute_error': 1.4237910414855426},{'mean_absolute_error': 1.2687099198685028}
150,{'mean_absolute_error': 1.3668596640087614},{'mean_absolute_error': 1.2103373963833672}
151,{'mean_absolute_error': 1.4139532880868184},{'mean_absolute_error': 1.266885183716423}
152,{'mean_absolute_error': 1.3731363591212513},{'mean_absolute_error': 1.2327071741768396}
153,{'mean_absolute_error': 1.462292159845126},{'mean_absolute_error': 1.3302847518355725}
154,{'mean_absolute_error': 1.4613176494737516},{'mean_absolute_error': 1.31316131356574}
155,{'mean_absolute_error': 1.4396912005243403},{'mean_absolute_error': 1.3028186636331165}
