,train_losses,valid_losses,,"(1, 75, [32, 32], 16, 0.5, 1e-05, 'regression')"
0,3.12525123,3.156463889,,
1,3.039976591,3.077018825,,
2,2.988603035,3.028228683,,
3,2.959784427,3.004171989,,
4,2.882723572,2.929972031,,
5,2.830552788,2.884864599,,
6,2.780987875,2.840607885,,
7,2.73285995,2.79925016,,
8,2.679225154,2.75062305,,
9,2.633299713,2.703852545,,
10,2.563222949,2.638832301,,
11,2.520345975,2.597965982,,
12,2.484116475,2.565912094,,
13,2.425602792,2.509639485,,
14,2.373413318,2.461074844,,
15,2.351840475,2.441992834,,
16,2.312763821,2.405951915,,
17,2.280487322,2.373521523,,
18,2.240467923,2.333887882,,
19,2.211721198,2.304999904,,
20,2.173091975,2.268681566,,
21,2.149743088,2.245912908,,
22,2.104308492,2.203571424,,
23,2.068102058,2.166796003,,
24,2.037271681,2.136366388,,
25,2.013699825,2.11286508,,
26,1.983657993,2.084431972,,
27,1.959292825,2.060490455,,
28,1.926624286,2.024029552,,
29,1.89816066,1.997209572,,
30,1.881315707,1.983125813,,
31,1.857161186,1.956755044,,
32,1.837698325,1.937749535,,
33,1.80753431,1.903616931,,
34,1.789125663,1.886735098,,
35,1.768273473,1.863722859,,
36,1.74792592,1.843430952,,
37,1.734993116,1.830738326,,
38,1.714163815,1.808952779,,
39,1.695484801,1.791541468,,
40,1.679656419,1.776252706,,
41,1.655175983,1.747132477,,
42,1.642384035,1.732646683,,
43,1.627569719,1.716476357,,
44,1.61125086,1.697050105,,
45,1.601396921,1.685798831,,
46,1.588251393,1.670739607,,
47,1.577812752,1.6557139,,
48,1.568454374,1.647015341,,
49,1.556440893,1.63156764,,
50,1.548889734,1.622802176,,
51,1.537396049,1.607132756,,
52,1.528348128,1.59266794,,
53,1.521491168,1.583665465,,
54,1.510836897,1.570610563,,
55,1.503557405,1.55897553,,
56,1.496112418,1.55032559,,
57,1.489954589,1.542224624,,
58,1.483667437,1.536073173,,
59,1.477515407,1.526307894,,
60,1.474835453,1.525704299,,
61,1.468919377,1.517992608,,
62,1.462730054,1.514331841,,
63,1.458677074,1.513549792,,
64,1.453840573,1.50788724,,
65,1.449474762,1.50154463,,
66,1.447381397,1.499433497,,
67,1.442585232,1.498259176,,
68,1.438277168,1.495389103,,
69,1.435972105,1.490502889,,
70,1.432395653,1.490081655,,
71,1.428345987,1.485030249,,
72,1.424692854,1.48102514,,
73,1.422275765,1.481271841,,
74,1.419656697,1.474487084,,
75,1.417095485,1.476264806,,
76,1.414054858,1.471888482,,
77,1.411597567,1.468819223,,
78,1.409254751,1.464599183,,
79,1.407400766,1.463972418,,
80,1.405153343,1.4605685,,
81,1.402882317,1.459136874,,
82,1.400811214,1.454117473,,
83,1.397484303,1.451617712,,
84,1.394534575,1.448577495,,
85,1.391560493,1.447958289,,
86,1.390607143,1.4493597,,
87,1.389500595,1.448449437,,
88,1.387020572,1.44705531,,
89,1.385661085,1.446320656,,
90,1.384353774,1.443688233,,
91,1.38213674,1.441709106,,
