,train_mean,train_eiso,train_riso,train_vert,valid_mean,valid_eiso,valid_riso,valid_vert
0,4.614920454,11.91251261,1.839904705,0.092344051,3.700865556,9.242783578,1.775004817,0.084808272
1,4.534127754,11.70062847,1.809778219,0.09197657,3.591331648,8.940738811,1.749045737,0.084210397
2,4.456640177,11.49778669,1.78049031,0.091643531,3.484565564,8.645979269,1.724062326,0.083655098
3,4.382379365,11.30366577,1.752141769,0.091330559,3.380469561,8.35814596,1.700143469,0.083119253
4,4.309218539,11.1109526,1.725644689,0.091058328,3.275612584,8.066151505,1.678046444,0.082639804
5,4.238859583,10.92533842,1.700420568,0.090819759,3.172585937,7.778280421,1.65727017,0.08220722
6,4.171039117,10.745722,1.676778056,0.090617291,3.070856957,7.492690005,1.638051844,0.081829023
7,4.108999055,10.58401858,1.652547775,0.090430814,2.976333701,7.228889902,1.618641464,0.081469737
8,4.049115456,10.4266553,1.630420426,0.090270638,2.882532011,6.965245954,1.60119921,0.08115087
9,3.992841891,10.27903212,1.609374032,0.09011952,2.792196701,6.710858938,1.584891804,0.080839362
10,3.940167183,10.14126209,1.58925925,0.089980208,2.705521246,6.466425591,1.569597424,0.080540725
11,3.889721394,10.00814225,1.571137442,0.089884487,2.619763243,6.222867648,1.55609443,0.08032765
12,3.842829023,9.884824657,1.553869972,0.089792441,2.537818805,5.989836609,1.543504579,0.080115228
13,3.798406021,9.767533629,1.537964495,0.089719939,2.457564335,5.760571739,1.532179658,0.079941608
14,3.757771019,9.660786531,1.522888112,0.089638413,2.381979414,5.544479526,1.521720646,0.079738069
15,3.719673843,9.560412985,1.509016239,0.089592305,2.308600378,5.33381311,1.512369728,0.079618295
16,3.6846231,9.467903367,1.496432569,0.089533365,2.23860937,5.132220612,1.504148558,0.079458941
17,3.651663794,9.380605038,1.484900803,0.08948554,2.170188705,4.934375122,1.496867574,0.079323419
18,3.621782242,9.301701774,1.474198064,0.089446889,2.105906307,4.748147851,1.490362258,0.079208811
19,3.595863347,9.234187229,1.463991383,0.08941143,2.048609427,4.582305626,1.484423971,0.079098683
20,3.570556009,9.167447689,1.454845204,0.089375135,1.989933088,4.411456326,1.479363315,0.078979622
21,3.54737789,9.106130645,1.446645761,0.089357265,1.933799059,4.247402308,1.475076571,0.078918297
22,3.527040115,9.052475932,1.439317721,0.089326691,1.882533318,4.097307987,1.47148447,0.078807497
23,3.508431062,9.002991879,1.432997143,0.089304164,1.83326591,3.952473605,1.468603915,0.078720211
24,3.492266817,8.960309407,1.427203794,0.089287248,1.788852323,3.821729955,1.466176441,0.078650572
25,3.477205426,8.920523084,1.421815309,0.089277885,1.745603661,3.694060242,1.46414039,0.078610351
26,3.464246136,8.886694025,1.416783189,0.089261195,1.707112594,3.580327745,1.462476172,0.078533864
27,3.45241108,8.855408499,1.41257245,0.089252291,1.669948153,3.470052584,1.461301378,0.078490498
28,3.441633946,8.826860085,1.408792536,0.089249217,1.634419404,3.36432397,1.460458841,0.078475402
29,3.432327383,8.801735342,1.406006279,0.089240527,1.601609841,3.266403388,1.459996342,0.078429792
30,3.424306426,8.780536084,1.403147752,0.089235442,1.572533136,3.179500793,1.459696621,0.078401994
31,3.41717831,8.761584901,1.400721592,0.089228438,1.545240147,3.097744312,1.459614907,0.078361223
32,3.410927616,8.744939389,1.39862208,0.089221379,1.520028502,3.022063331,1.459705179,0.078316997
33,3.406252982,8.732605408,1.396938633,0.089214905,1.500480619,2.96325661,1.459912482,0.078272766
34,3.401756435,8.720586671,1.395473719,0.089208916,1.48049835,2.903051355,1.46021636,0.078227336
35,3.397331389,8.708713653,1.39407687,0.089203643,1.459634503,2.840079264,1.460642015,0.07818223
36,3.393744665,8.699122784,1.392911313,0.089199899,1.441788994,2.786096273,1.461124567,0.078146142
37,3.391113966,8.692154825,1.391990435,0.089196637,1.428160756,2.74476452,1.461607609,0.07811014
38,3.388631638,8.685633808,1.391066106,0.089195001,1.41474976,2.703945089,1.462213525,0.078090665
39,3.386515583,8.680075076,1.390275458,0.089196216,1.402698566,2.667132325,1.462853641,0.078109732
40,3.384519699,8.674650379,1.389713449,0.089195267,1.39010145,2.628812376,1.463392226,0.078099747
41,3.383250321,8.671425252,1.389132291,0.08919342,1.382328498,2.604856889,1.464052766,0.078075839
42,3.381992739,8.668097374,1.388688193,0.089192651,1.373805275,2.578707313,1.464641901,0.078066612
43,3.380942884,8.665283724,1.38835403,0.089190898,1.36616546,2.555315561,1.465142923,0.078037896
44,3.379921536,8.662528295,1.388046252,0.08919006,1.358143065,2.530740025,1.465665137,0.078024032
45,3.379048151,8.660126586,1.387827392,0.089190473,1.350565121,2.507585418,1.466071702,0.078038242
46,3.378535081,8.658850842,1.387564606,0.089189794,1.346506974,2.494861092,1.466631505,0.078028324
47,3.377895765,8.657089103,1.387408225,0.089189967,1.340174305,2.475502092,1.466983597,0.078037225
48,3.377554145,8.656297319,1.387175371,0.089189747,1.337464149,2.466741781,1.467613577,0.07803709
49,3.377126527,8.655143799,1.38704708,0.089188703,1.332837376,2.452512703,1.467981054,0.078018371
50,3.376944211,8.65474009,1.386903068,0.089189476,1.331483598,2.447957504,1.468452242,0.078041049
51,3.376715791,8.654211618,1.386746775,0.089188981,1.32946577,2.44129072,1.469071122,0.078035468
52,3.376526935,8.65372214,1.386671219,0.089187445,1.327418252,2.434889773,1.469362064,0.078002919
53,3.37636045,8.653266921,1.386625334,0.089189096,1.325440885,2.428773562,1.469502411,0.078046682
54,3.376165516,8.652746942,1.386562577,0.089187029,1.322943018,2.421065908,1.469759121,0.078004026
55,3.375955515,8.652194226,1.386485452,0.089186866,1.320076509,2.412070265,1.470153008,0.078006253
56,3.375839992,8.651913717,1.386419835,0.089186423,1.31879537,2.407860754,1.470525401,0.077999954
57,3.3757035,8.651551535,1.386373365,0.089185601,1.316765968,2.401545507,1.470773993,0.077978402
58,3.375596551,8.65124361,1.3863606,0.089185443,1.314854455,2.395885086,1.470695561,0.077982717
59,3.375547339,8.65114111,1.386315024,0.089185882,1.31467803,2.395070268,1.470957362,0.078006458
60,3.37545305,8.650862234,1.386311468,0.089185449,1.312783635,2.389587543,1.470762089,0.078001273
61,3.375369146,8.650618681,1.386304031,0.089184725,1.31106025,2.384570739,1.470624848,0.077985164
62,3.375321534,8.650510618,1.386270094,0.08918389,1.310736974,2.383506292,1.470754619,0.077950011
