,train_mean,train_eiso,train_riso,train_vert,valid_mean,valid_eiso,valid_riso,valid_vert,
0,3.7185610188,9.1658271252,1.9180546327,0.0718012984,3.3605743817,8.4544995644,1.5555189388,0.071704642,
1,3.5700087318,8.779126151,1.859581235,0.0713188093,3.2118933925,8.0569212667,1.5075686453,0.0711902656,"(3, 4096, [64, 128, 256], 0.2, 1e-05)"
2,3.4255184576,8.4015205456,1.8041716008,0.0708632265,3.0666855425,7.6664701747,1.4628437277,0.0707427252,
3,3.288932841,8.0430529171,1.7532984429,0.070447163,2.9299279662,7.2958751778,1.4235786549,0.070330066,
4,3.1587850383,7.7013585865,1.7049102075,0.0700863208,2.8003878288,6.9447513561,1.3864607312,0.0699513991,
5,3.0319077771,7.3651431767,1.6608054235,0.0697747312,2.6744698452,6.5998176481,1.3539754829,0.0696164045,
6,2.9100016522,7.0394852472,1.6209878752,0.0695318342,2.5552154189,6.2689131215,1.3273735962,0.0693595389,
7,2.7923647699,6.723895206,1.583864609,0.0693344947,2.440530446,5.9497494526,1.3026898114,0.069152074,
8,2.6835677522,6.4292113919,1.5523550768,0.0691367879,2.3360100388,5.6564965073,1.2825771249,0.0689564843,
9,2.5772761261,6.1381366959,1.5247251675,0.0689665149,2.2350272912,5.3707891394,1.2654996671,0.0687930669,
10,2.4768162457,5.8617179977,1.4998691972,0.0688615421,2.1395667261,5.0979643955,1.252054737,0.0686810458,
11,2.385573108,5.610613103,1.4773615686,0.0687446522,2.0518779572,4.8471238905,1.239964635,0.0685453462,
12,2.2960507527,5.3615248485,1.4579955966,0.0686318131,1.9664037964,4.6016228642,1.2291723748,0.0684161501,
13,2.2164683022,5.1395448991,1.4413177304,0.068542277,1.8900203491,4.3814822912,1.2202685356,0.0683102206,
14,2.1392452423,4.9215424669,1.4277517811,0.0684414789,1.8171528803,4.1689739136,1.2143035447,0.0681811827,
15,2.0704455028,4.7268918342,1.4160648443,0.0683798298,1.7528336928,3.9794797275,1.2109196052,0.0681017458,
16,2.004505496,4.5394071496,1.4057857718,0.0683235665,1.6913437775,3.7962739247,1.2097295625,0.0680278453,
