,train_mean,train_eiso,train_riso,train_vert,valid_mean,valid_eiso,valid_riso,valid_vert
0,3.7175442973,9.1625708031,1.9182524923,0.0718095964,3.3598773098,8.4519915823,1.5559210325,0.0717193146
1,3.5691132749,8.7762337275,1.8597793418,0.0713267555,3.2113357104,8.0547540783,1.5080503418,0.071202711
2,3.4247948221,8.3991305891,1.8043830034,0.0708708739,3.0662672193,7.6647155747,1.463335147,0.0707509363
3,3.2883859996,8.0411695995,1.7535339902,0.0704544093,2.9297288842,7.2948092079,1.4240396634,0.0703377813
4,3.1584470246,7.7000497647,1.7051981303,0.0700931786,2.800481242,6.9445656074,1.3869194375,0.069958681
5,3.0317835092,7.3644227713,1.6611468382,0.0697809182,2.6748038289,6.6002466707,1.3545426898,0.0696221261
6,2.9101136986,7.0394270265,1.6213751059,0.0695389635,2.5558420136,6.2702017192,1.3279593425,0.0693649791
7,2.7927431251,6.7246014455,1.5842865788,0.0693413508,2.4414959497,5.9520434593,1.303286404,0.0691579859
8,2.684183105,6.4305888332,1.552816536,0.0691439457,2.3370696545,5.6591157963,1.2831294234,0.0689637437
9,2.5782099773,6.1404070613,1.5252491121,0.0689737584,2.2364245515,5.3744419079,1.266031921,0.0687998257
10,2.4780206493,5.8647582508,1.5004351587,0.0688685383,2.1412384974,5.1024623899,1.2525653202,0.0686877821
11,2.3870946541,5.6145331141,1.4779983688,0.0687524794,2.0538243956,4.8524480156,1.2404730993,0.068552072
12,2.2978231114,5.3661915588,1.4586382087,0.0686395666,1.9686372689,4.6078059365,1.2296818642,0.0684240059
13,2.2185251415,5.14503541,1.4419899814,0.0685500331,1.8925883651,4.3886373836,1.220809684,0.0683180277
14,2.1415622811,4.9277820532,1.4284560585,0.0684487314,1.81995713,4.1768122169,1.2148700939,0.0681890792
15,2.0730031338,4.7338537698,1.4167684398,0.0683871917,1.7557639461,3.9876876583,1.2114944407,0.0681097393
16,2.007326305,4.5470916403,1.4065559787,0.0683312959,1.6944648753,3.8051448542,1.2102139574,0.0680358143
17,1.9468260102,4.3741136286,1.3980813642,0.0682830379,1.6389909065,3.6380210926,1.2109813416,0.0679702851
18,1.8897296167,4.2094122654,1.3915261423,0.0682504422,1.5874484886,3.4811388304,1.2132789415,0.0679276938
19,1.8385856182,4.0618528611,1.3856989759,0.0682050176,1.5415453309,3.3403651775,1.2164021448,0.0678686702
20,1.7917837893,3.9261886848,1.3809678233,0.0681948597,1.5001543877,3.2120656369,1.2205406297,0.0678568965
21,1.7494672297,3.8026865866,1.3775626209,0.0681524815,1.4623428687,3.0948706504,1.2243516544,0.0678063013
22,1.7103621489,3.687597125,1.3753677915,0.0681215303,1.4287398501,2.9909814347,1.2274717251,0.0677663905
23,1.6748328279,3.5829323891,1.3734520828,0.0681140118,1.4001198508,2.9006320115,1.2319720135,0.0677555273
24,1.6432573338,3.4892754002,1.3724058679,0.0680907332,1.3742327852,2.8189032947,1.2360759347,0.0677191262
25,1.6112118558,3.3938720325,1.3716886245,0.0680749103,1.3478010955,2.7351577917,1.240552927,0.0676925679
26,1.5867597541,3.3209318395,1.37128849,0.0680589329,1.3270888617,2.6695257538,1.2440786729,0.0676621585
27,1.5654470669,3.2573617521,1.3709371288,0.06804232,1.3093251753,2.6125715272,1.2477752539,0.0676287448
28,1.5454987439,3.1977141752,1.3707449414,0.0680371151,1.2928518522,2.5595076053,1.2514303417,0.0676176096
29,1.5315274631,3.1558156901,1.3707363222,0.0680303772,1.2819173857,2.5223610622,1.2557881242,0.0676029706
30,1.5164056865,3.1102501947,1.3709376555,0.0680292093,1.2696187183,2.4819200702,1.2593351986,0.0676008862
31,1.5031402513,3.0701486934,1.37125257,0.0680194907,1.2583584658,2.4453345478,1.2621609578,0.0675798918
32,1.4879026316,3.0242270249,1.3714736152,0.0680072546,1.2448396437,2.4031219974,1.2638465305,0.0675504031
33,1.4775881691,2.9928698215,1.3718809382,0.0680137474,1.2361242493,2.3744147973,1.2663902387,0.0675677118
34,1.4684334753,2.9649662536,1.372321389,0.0680127834,1.2283257844,2.3486185122,1.2687930137,0.0675658273
35,1.4621947873,2.9456712538,1.3729035033,0.0680096049,1.2232530548,2.3306513681,1.2715498044,0.0675579921
36,1.4543250727,2.9215930572,1.3733815376,0.0680006234,1.2166876132,2.3087353738,1.2737923441,0.0675351216
37,1.4501338879,2.9085195889,1.3738776952,0.0680043795,1.2136763028,2.2973665165,1.276116957,0.0675454349
38,1.4442951789,2.8907089788,1.3741758516,0.0680007062,1.2090579652,2.2821081554,1.2775293054,0.0675364347
39,1.4382597367,2.8724630243,1.3743138621,0.0680023236,1.2040234003,2.2663074536,1.2782215199,0.0675412275
40,1.4366749314,2.86738109,1.3746369585,0.0680067456,1.2030592215,2.2619373566,1.2796869841,0.0675533238
41,1.4297409188,2.8463312348,1.3748974197,0.067994102,1.1973072337,2.2435576623,1.2808437949,0.067520244
42,1.4286011684,2.8425325084,1.3752749767,0.06799602,1.1967647912,2.2402536635,1.2825144762,0.0675262338
43,1.4287171899,2.8424892526,1.3756672975,0.0679950197,1.1973694652,2.2402594191,1.2843249657,0.0675240109
44,1.4275532964,2.8391800872,1.3754891938,0.0679906083,1.1961630331,2.2373693894,1.2836075226,0.0675121872
45,1.4225967345,2.8241886056,1.3756102001,0.0679913979,1.1919522303,2.2241260003,1.2842157405,0.0675149501
46,1.4205083378,2.8181295934,1.3754025967,0.0679928232,1.1898735178,2.2187267813,1.2833741935,0.0675195788
47,1.4200593691,2.8165579291,1.375627736,0.0679924422,1.1897767033,2.217349743,1.2844611752,0.0675191917
48,1.4149319479,2.8010258089,1.3757682318,0.0680018029,1.1852746021,2.203088424,1.2851905245,0.0675448577
49,1.4141066256,2.7989244351,1.3754063488,0.0679890931,1.1841032561,2.2011829179,1.2836157468,0.0675111035
50,1.4130121101,2.7954414133,1.3756077176,0.0679871994,1.1833611899,2.1979708498,1.2846066425,0.0675060773
51,1.4108744346,2.7890383846,1.3755897214,0.0679951978,1.1814047656,2.192083688,1.2846012558,0.067529353
52,1.4123649843,2.7931483657,1.3759492029,0.0679973843,1.1832749262,2.1959182643,1.2863709353,0.0675355789
53,1.4119141416,2.7917368332,1.3760008036,0.068004788,1.1829676643,2.1946431831,1.2867044219,0.0675553878
54,1.4061153519,2.7745350076,1.3758163651,0.067994683,1.1775184539,2.1791331776,1.2858924906,0.0675296935
55,1.4061414087,2.7748633326,1.3755689115,0.067991982,1.177271166,2.1794677647,1.2848227085,0.0675230248
56,1.4028863634,2.7651234989,1.3755476742,0.0679879171,1.1743503643,2.1707348909,1.2848039434,0.0675122586
57,1.4041201788,2.7690107797,1.3753696043,0.0679801524,1.175273719,2.1742754087,1.2840577535,0.0674879947
58,1.4050203397,2.7716834123,1.3754011873,0.0679764196,1.176155408,2.1767075093,1.2842828686,0.0674758462
