,train_mean,train_eiso,train_riso,train_vert,valid_mean,valid_eiso,valid_riso,valid_vert
0,3.9280811976,10.0237830528,1.6641363629,0.0963241769,3.5950895475,9.3306174263,1.3564457787,0.0982054376
1,3.3548354769,8.4663524493,1.5117340774,0.086419904,3.026616095,7.733306478,1.2585318184,0.0880099885
2,2.8287350282,6.9863293623,1.4213450824,0.07853064,2.5020397791,6.2145512723,1.2123218133,0.0792462516
3,2.3857385096,5.7032761557,1.380944836,0.0729945372,2.0774562239,4.9391315874,1.2201900055,0.0730470787
4,2.008483934,4.5846424169,1.3707276179,0.0700817672,1.7200509465,3.8402254353,1.2499728319,0.0699545722
5,1.7365621891,3.7664454039,1.3746371364,0.0686040269,1.4695115507,3.0607572023,1.2793831072,0.0683943425
6,1.5543612281,3.2163966329,1.3785918759,0.0680951754,1.3131534609,2.5747487222,1.2969671727,0.0677444878
7,1.4524610338,2.909577974,1.3798250114,0.0679801159,1.2220659884,2.2967212081,1.3019698158,0.0675069413
8,1.399644804,2.7541683204,1.3768077042,0.0679583874,1.1719866778,2.1587968813,1.2897141358,0.0674490163
9,1.3899091174,2.7255943879,1.3761744994,0.0679584648,1.1624526149,2.1330300042,1.2868690786,0.0674587619
10,1.3896205113,2.7245031534,1.3763791807,0.0679791998,1.162528411,2.1320228327,1.2880313693,0.0675310311
11,1.4008067885,2.758556301,1.3758762863,0.0679877781,1.171999666,2.162676656,1.2857628388,0.0675595032
12,1.4031058396,2.7662999061,1.3750111459,0.0680064669,1.1730906727,2.1696890223,1.2819770547,0.0676059411
13,1.4024731008,2.7636129203,1.3758079835,0.0679983986,1.1735331956,2.1672537855,1.2857519687,0.0675938328
14,1.4081355623,2.7807200308,1.3757298986,0.0679567573,1.178564138,2.1826497882,1.2855426573,0.0674999685
15,1.4121476816,2.7913095072,1.3771611815,0.0679723562,1.1840393422,2.1921902839,1.292380289,0.0675474538
16,1.4117632754,2.7904562206,1.3768603431,0.0679732627,1.1834168019,2.191442151,1.291253996,0.0675542586
17,1.4087047503,2.7818073599,1.3763393727,0.0679675182,1.180059481,2.1835656535,1.2890658904,0.0675468991
18,1.4092224176,2.7837560969,1.3759497788,0.0679613773,1.180048458,2.185257847,1.2873487487,0.0675387783
19,1.4161207419,2.8056480911,1.3747645115,0.0679496231,1.185045125,2.2056473672,1.2819711775,0.0675168302
20,1.4213288147,2.8210638171,1.3749588626,0.0679637644,1.1900240193,2.2195351801,1.2829823513,0.0675545265
21,1.4255949943,2.8325744762,1.3762525506,0.067957956,1.1955543787,2.2297633968,1.2893520442,0.067547695
22,1.4101589654,2.7874342378,1.3751048649,0.0679377936,1.1801361358,2.1888993506,1.2840002057,0.0675088511
23,1.4186029685,2.8134830036,1.3743930204,0.0679328814,1.1870968766,2.21281514,1.2809719057,0.0675035842
24,1.4123946378,2.794351398,1.3749197717,0.0679127437,1.1821342721,2.1954553254,1.2834889505,0.0674585405
25,1.4127437834,2.7947669448,1.37556545,0.0678989554,1.1833911403,2.1959535059,1.2867937925,0.0674261225
26,1.4093561346,2.7835850429,1.3765757791,0.0679075818,1.1815820741,2.185626739,1.291656469,0.0674630143
27,1.4106812622,2.7883326261,1.375802272,0.0679088884,1.1819733811,2.1901226345,1.2883230931,0.0674744158
28,1.4178703004,2.8104008594,1.3753034291,0.0679066128,1.1879570448,2.2103110714,1.2860836495,0.0674764136
29,1.4069606106,2.7773980177,1.3755589773,0.0679248368,1.1783679799,2.1800573486,1.2875171136,0.0675294776
30,1.4108224034,2.7899536773,1.3746194747,0.0678940582,1.1808280694,2.1918559224,1.2831676068,0.0674606789
31,1.4188015817,2.8135638447,1.374951889,0.0678890116,1.1885747404,2.2132428651,1.2850260476,0.0674553087
32,1.4205553713,2.819508198,1.3742778311,0.0678800848,1.1893483787,2.2185543306,1.282049975,0.0674408305
33,1.4082497982,2.7811552233,1.3757031592,0.0678910121,1.1801334759,2.1838203937,1.2891019017,0.0674781323
34,1.4045700491,2.7691598644,1.3766535928,0.0678966902,1.1778348197,2.1726335731,1.2933673907,0.0675034954
35,1.4081168986,2.7812259073,1.3752456496,0.0678791389,1.1796301329,2.1840352675,1.2873875704,0.0674675609
36,1.4026939103,2.7648931291,1.3753056449,0.0678829571,1.174718653,2.1687509369,1.2879163875,0.0674886347
37,1.4080401909,2.7789222433,1.3773093474,0.0678889818,1.1820080485,2.1819753097,1.2965346725,0.0675141634
38,1.4111083662,2.7902314185,1.3752132191,0.0678804611,1.1826495692,2.1924385849,1.2880064182,0.0675037045
39,1.408588187,2.7827488869,1.375174743,0.067840931,1.1803968845,2.1856544417,1.2881223844,0.0674138273
40,1.417924711,2.8133178615,1.372645717,0.0678105545,1.1857920141,2.2132833558,1.2767500174,0.0673426689
41,1.4178736391,2.812857472,1.3729648465,0.0677985987,1.1861567418,2.2128744936,1.2782711736,0.0673245581
42,1.396620805,2.747678362,1.3743380569,0.067845996,1.1684856934,2.1532159661,1.28477414,0.0674669742
43,1.3912742838,2.7313433498,1.3746445936,0.067834908,1.1640589497,2.1382421565,1.2864812348,0.0674534578
44,1.4105937375,2.7896309253,1.3743340741,0.067816213,1.1815853454,2.1920244388,1.2853130652,0.0674185321
45,1.4107797685,2.7894109822,1.3751374037,0.0677909196,1.1828958907,2.1918447233,1.289475174,0.0673677747
46,1.4208806842,2.8197197911,1.3751111292,0.0678111325,1.1920574377,2.2190732161,1.2896624856,0.0674366114
47,1.4071774561,2.7796910119,1.3740630253,0.0677783311,1.1784554864,2.1828824461,1.2851167012,0.0673673121
48,1.4009171207,2.7597405882,1.3752422823,0.0677684917,1.1742784616,2.164489732,1.2909816958,0.067363957
49,1.4112787824,2.7909457921,1.375137274,0.0677532811,1.1838340047,2.1932230348,1.2909375298,0.0673414495
50,1.397973557,2.7530657118,1.3731253314,0.0677296277,1.1692460715,2.1583658572,1.2820765799,0.0672957775
51,1.3957953655,2.7458940614,1.3737875812,0.067704454,1.1682948888,2.1518299561,1.2858006897,0.0672540207
52,1.4046850917,2.7736504227,1.3726777887,0.0677270636,1.1751581286,2.1772438082,1.2808930394,0.0673375383
53,1.4108915944,2.7917745068,1.3731576194,0.0677426571,1.1816767489,2.1938987382,1.283733623,0.0673978856
54,1.4034030683,2.7689120833,1.3736381053,0.0676590163,1.175631405,2.1729665092,1.2867187151,0.0672089907
55,1.399717518,2.7584061893,1.3730879305,0.0676584343,1.1717363749,2.1632907127,1.2846873389,0.067231073
56,1.4143104511,2.8039354778,1.371332965,0.0676629104,1.1830185701,2.204897295,1.2768900251,0.0672683902
57,1.4024987095,2.7668818175,1.372939864,0.0676744471,1.1745377091,2.171056368,1.2852328218,0.0673239374
58,1.4002694442,2.7579432033,1.3752358775,0.0676292517,1.1750671705,2.1627780789,1.2951911662,0.0672322664
59,1.4006813501,2.7614024608,1.3730586079,0.0675829817,1.1733493803,2.1658388524,1.2870632211,0.0671460674
60,1.3934176854,2.7416203804,1.3710172285,0.0676154472,1.1642340687,2.1473810389,1.2780662101,0.0672549572
61,1.3934692437,2.7420049048,1.3708431313,0.0675596951,1.1642874084,2.1477242819,1.2779944023,0.0671435409
62,1.4065167368,2.7828306572,1.3691699939,0.0675495595,1.174421535,2.1850927625,1.2710258247,0.0671460179
63,1.4090400418,2.7886104974,1.3709654286,0.0675441995,1.1791196518,2.1901677152,1.2800240601,0.06716718
64,1.4095416281,2.7903277056,1.3708174311,0.0674797474,1.1796375741,2.191558943,1.2803102563,0.067043523
65,1.3797917036,2.6991921548,1.372714904,0.067468052,1.1549588093,2.1082400652,1.2895846639,0.0670516988
66,1.3861279788,2.7173517638,1.3735383345,0.067493838,1.1617546846,2.1245464273,1.2935685831,0.0671490433
67,1.3835833887,2.7125192009,1.3707637366,0.0674672284,1.156668594,2.1200251952,1.2828642347,0.067116352
68,1.4171404372,2.813452013,1.3705544172,0.0674148815,1.1872246503,2.2118700872,1.2827787938,0.0670250699
69,1.3879871255,2.7255153487,1.3710576609,0.0673883668,1.161392539,2.1313343207,1.2858421191,0.0670011773
70,1.3932355433,2.7416051916,1.3707503292,0.0673511091,1.1660600708,2.1456896503,1.2855428304,0.0669477319
71,1.4037643011,2.7732824508,1.3706784727,0.06733198,1.1758692299,2.1745845489,1.2860688022,0.0669543385
72,1.3704545957,2.6736428925,1.3704310443,0.0672898503,1.1452790869,2.0829963357,1.2859419507,0.0668989744
73,1.3808046084,2.705664995,1.369443912,0.0673049181,1.1539854501,2.112129103,1.2828387897,0.0669884576
74,1.4017069217,2.7677300265,1.3701047377,0.0672860008,1.1740316193,2.168582914,1.2865238776,0.0669880664
75,1.4037287678,2.7752289749,1.3687105675,0.0672467611,1.1747619715,2.1755904135,1.2817487574,0.0669467434
76,1.3998202351,2.7657255508,1.3665502226,0.0671849319,1.1689416918,2.1665822369,1.2733924404,0.0668503982
77,1.3926608937,2.7432829806,1.3675657435,0.0671339571,1.1637376706,2.1450292756,1.2793932645,0.0667904718
78,1.391476204,2.7405228382,1.3667960106,0.0671097631,1.1621864811,2.1422635456,1.2774831139,0.0668127837
79,1.3845717747,2.7190874102,1.3675758314,0.0670520826,1.1570176005,2.1220843318,1.2822273855,0.0667410843
80,1.3928221084,2.7416751816,1.3698508889,0.0669402547,1.1671481647,2.1432807122,1.2916350513,0.0665287308
81,1.3939836664,2.7493892739,1.3656095024,0.0669522228,1.1646552929,2.1502854189,1.2770320871,0.0666483729
82,1.3860413657,2.7247783935,1.3664376496,0.0669080539,1.1583610311,2.1264631439,1.2819908853,0.0666290641
83,1.3862241647,2.7260614203,1.3657493117,0.0668617623,1.1582599243,2.1272133088,1.2809630611,0.066603403
84,1.3857186531,2.7241780502,1.3662076003,0.0667703088,1.158526259,2.1252008844,1.2839116038,0.0664662888
85,1.3917998166,2.7469441927,1.3617543434,0.0667009137,1.1599065861,2.1456826329,1.2676420967,0.0663950285
86,1.3770187474,2.7022239612,1.3621782742,0.0666540068,1.147243259,2.1042159346,1.2711137705,0.0664000719
