,train_scores_1,valid_scores_1,train_scores_2,valid_scores_2,train_scores_3,valid_scores_3
0,{'mean_absolute_error': 1.3440151480047955},{'mean_absolute_error': 1.4003558574908832},{'mean_absolute_error': 1.3834157164515704},{'mean_absolute_error': 1.3204506873532322},{'mean_absolute_error': 1.3682349558480742},{'mean_absolute_error': 1.3526178581914303}
1,{'mean_absolute_error': 1.3650593079751148},{'mean_absolute_error': 1.422792886519665},{'mean_absolute_error': 1.3810266732282748},{'mean_absolute_error': 1.318359248868052},{'mean_absolute_error': 1.3494326955131297},{'mean_absolute_error': 1.3187733936911281}
2,{'mean_absolute_error': 1.340759246348627},{'mean_absolute_error': 1.3974630904221894},{'mean_absolute_error': 1.4041888772232165},{'mean_absolute_error': 1.3376407261597818},{'mean_absolute_error': 1.3784183068434157},{'mean_absolute_error': 1.3685372963901177}
3,{'mean_absolute_error': 1.309895455699049},{'mean_absolute_error': 1.3655740603616677},{'mean_absolute_error': 1.4315365983919361},{'mean_absolute_error': 1.3640723136144766},{'mean_absolute_error': 1.332931304741929},{'mean_absolute_error': 1.2973192324567795}
4,{'mean_absolute_error': 1.1202905713084508},{'mean_absolute_error': 1.1775226783045054},{'mean_absolute_error': 1.1896517865726524},{'mean_absolute_error': 1.1278575121150693},{'mean_absolute_error': 1.1745889930190134},{'mean_absolute_error': 1.1550710044325707}
5,{'mean_absolute_error': 1.0357146334732297},{'mean_absolute_error': 1.1113426820723582},{'mean_absolute_error': 1.1078140891345631},{'mean_absolute_error': 1.0670970447457593},{'mean_absolute_error': 1.1054145398083697},{'mean_absolute_error': 1.09598684704697}
6,{'mean_absolute_error': 1.0121784607276334},{'mean_absolute_error': 1.1002744799569217},{'mean_absolute_error': 1.0777187388119123},{'mean_absolute_error': 1.0367604212446195},{'mean_absolute_error': 1.0975808677407766},{'mean_absolute_error': 1.131900921335875}
7,{'mean_absolute_error': 1.0161342653084264},{'mean_absolute_error': 1.1014090158438994},{'mean_absolute_error': 1.1626126235604644},{'mean_absolute_error': 1.1536055575294988},{'mean_absolute_error': 1.0417778421538635},{'mean_absolute_error': 1.0843850573155303}
8,{'mean_absolute_error': 1.0383743597327477},{'mean_absolute_error': 1.1335495642652913},{'mean_absolute_error': 1.047163255218072},{'mean_absolute_error': 1.0354407372289902},{'mean_absolute_error': 1.0714674002208726},{'mean_absolute_error': 1.1132953315165468}
9,{'mean_absolute_error': 1.0286134008229029},{'mean_absolute_error': 1.1165244235454954},{'mean_absolute_error': 1.0309521583726386},{'mean_absolute_error': 1.0300145790797148},{'mean_absolute_error': 1.0526253788077113},{'mean_absolute_error': 1.0860006642520075}
