,train_scores_1,valid_scores_1,train_scores_2,valid_scores_2,train_scores_3,valid_scores_3
0,{'mean_absolute_error': 5.578536730597486},{'mean_absolute_error': 5.093100692349971},{'mean_absolute_error': 9.898667942486163},{'mean_absolute_error': 9.396828987001877},{'mean_absolute_error': 8.398427004747054},{'mean_absolute_error': 10.07760201109416}
1,{'mean_absolute_error': 6.187686507097262},{'mean_absolute_error': 5.375172444786575},{'mean_absolute_error': 4.251148029903931},{'mean_absolute_error': 3.620755549154658},{'mean_absolute_error': 6.535622510084115},{'mean_absolute_error': 8.733974260545414}
2,{'mean_absolute_error': 2.9600666331728864},{'mean_absolute_error': 2.5106690210975096},{'mean_absolute_error': 2.2975561530443804},{'mean_absolute_error': 1.727235284356617},{'mean_absolute_error': 4.936700404582444},{'mean_absolute_error': 6.745571405581542}
3,{'mean_absolute_error': 3.5203450427247356},{'mean_absolute_error': 2.9739156643563636},{'mean_absolute_error': 3.6629123833743336},{'mean_absolute_error': 3.2679774854464996},{'mean_absolute_error': 2.4880016610309887},{'mean_absolute_error': 4.566932560384783}
4,{'mean_absolute_error': 3.941979484445907},{'mean_absolute_error': 3.357667893178183},{'mean_absolute_error': 2.9501276480936838},{'mean_absolute_error': 2.3273327824752337},{'mean_absolute_error': 2.703552861076621},{'mean_absolute_error': 4.796560033376024}
5,{'mean_absolute_error': 2.5016075027932407},{'mean_absolute_error': 2.038632062780686},{'mean_absolute_error': 3.303763723763507},{'mean_absolute_error': 2.8818257779589813},{'mean_absolute_error': 2.1496429522040557},{'mean_absolute_error': 4.274084330648896}
6,{'mean_absolute_error': 3.1980168055353375},{'mean_absolute_error': 2.7295466836473987},{'mean_absolute_error': 2.7717450192939825},{'mean_absolute_error': 2.159445654472877},{'mean_absolute_error': 2.186357819084379},{'mean_absolute_error': 4.3101211249487745}
7,{'mean_absolute_error': 2.4721192924733204},{'mean_absolute_error': 2.001551563369925},{'mean_absolute_error': 2.993763072136919},{'mean_absolute_error': 2.540798912275781},{'mean_absolute_error': 2.136435841100739},{'mean_absolute_error': 4.259713445667094}
8,{'mean_absolute_error': 2.4761549529980926},{'mean_absolute_error': 2.0065242263055767},{'mean_absolute_error': 2.2933423552073906},{'mean_absolute_error': 1.7235780801836853},{'mean_absolute_error': 2.4963400675340033},{'mean_absolute_error': 4.615486860322971}
9,{'mean_absolute_error': 2.6547756352090546},{'mean_absolute_error': 2.125879255899255},{'mean_absolute_error': 2.3167776304741956},{'mean_absolute_error': 1.7616130802779815},{'mean_absolute_error': 2.3155992018176947},{'mean_absolute_error': 4.44246450536177}
10,{'mean_absolute_error': 3.9365372250839776},{'mean_absolute_error': 3.3589203291178755},{'mean_absolute_error': 2.509004163812841},{'mean_absolute_error': 1.9918518422983624},{'mean_absolute_error': 2.0257624267896164},{'mean_absolute_error': 4.128548898119172}
11,{'mean_absolute_error': 3.6223157933079624},{'mean_absolute_error': 3.0945024361442535},{'mean_absolute_error': 2.322691099026126},{'mean_absolute_error': 1.7690188327550487},{'mean_absolute_error': 2.3470556939887848},{'mean_absolute_error': 4.471426730527589}
12,{'mean_absolute_error': 2.5808948522672925},{'mean_absolute_error': 2.1391463147519243},{'mean_absolute_error': 2.294213570860728},{'mean_absolute_error': 1.7439456230368333},{'mean_absolute_error': 3.0637263539532906},{'mean_absolute_error': 5.11237024737323}
13,{'mean_absolute_error': 3.077355683046976},{'mean_absolute_error': 2.6280574345642345},{'mean_absolute_error': 3.2645605516727847},{'mean_absolute_error': 2.8625678930349316},{'mean_absolute_error': 2.1448004630678867},{'mean_absolute_error': 4.189650376103838}
