,train_scores,valid_scores
0,{'mean_absolute_error': 1.5083787779829443},{'mean_absolute_error': 1.2763047442143047}
1,{'mean_absolute_error': 1.2888998208070248},{'mean_absolute_error': 1.0547448195960125}
2,{'mean_absolute_error': 1.3628372160720899},{'mean_absolute_error': 1.1152086789400495}
3,{'mean_absolute_error': 2.092322667109175},{'mean_absolute_error': 1.9156819397454434}
4,{'mean_absolute_error': 1.5164818966116262},{'mean_absolute_error': 1.2860309498982683}
5,{'mean_absolute_error': 1.3136385049755497},{'mean_absolute_error': 1.0667939388497187}
6,{'mean_absolute_error': 1.2743015249557017},{'mean_absolute_error': 1.041480346887463}
7,{'mean_absolute_error': 1.2911378915111231},{'mean_absolute_error': 1.061349571727274}
8,{'mean_absolute_error': 1.4586770150106032},{'mean_absolute_error': 1.238975583620242}
9,{'mean_absolute_error': 1.2498182516479612},{'mean_absolute_error': 1.0354086774132083}
10,{'mean_absolute_error': 1.742588222369086},{'mean_absolute_error': 1.566766706060151}
11,{'mean_absolute_error': 1.4895510041619575},{'mean_absolute_error': 1.2842404130740326}
12,{'mean_absolute_error': 1.3391167936157762},{'mean_absolute_error': 1.1422110765115914}
13,{'mean_absolute_error': 1.5034626231296329},{'mean_absolute_error': 1.3128302110555892}
14,{'mean_absolute_error': 1.3616837878565702},{'mean_absolute_error': 1.159872634614829}
15,{'mean_absolute_error': 1.8455650205118028},{'mean_absolute_error': 1.691799228404984}
16,{'mean_absolute_error': 1.4121825883104202},{'mean_absolute_error': 1.2317891578882376}
17,{'mean_absolute_error': 1.529577628356824},{'mean_absolute_error': 1.3516625248206815}
18,{'mean_absolute_error': 1.2671606787781815},{'mean_absolute_error': 1.096293832787533}
19,{'mean_absolute_error': 1.449162370872023},{'mean_absolute_error': 1.2824712966474987}
20,{'mean_absolute_error': 1.3702453314736625},{'mean_absolute_error': 1.2235339217325498}
21,{'mean_absolute_error': 1.2637054944779125},{'mean_absolute_error': 1.1261809980202016}
22,{'mean_absolute_error': 1.2885579588642344},{'mean_absolute_error': 1.1445839684372936}
23,{'mean_absolute_error': 1.2948950990605608},{'mean_absolute_error': 1.152144630330515}
24,{'mean_absolute_error': 1.3285766638477552},{'mean_absolute_error': 1.18817811630333}
25,{'mean_absolute_error': 1.298688744001404},{'mean_absolute_error': 1.176515377974987}
26,{'mean_absolute_error': 1.460006841743619},{'mean_absolute_error': 1.3445777111157453}
27,{'mean_absolute_error': 1.2782122711460175},{'mean_absolute_error': 1.1844280218089809}
28,{'mean_absolute_error': 1.3629475200529946},{'mean_absolute_error': 1.236194425783237}
29,{'mean_absolute_error': 1.3349548877485153},{'mean_absolute_error': 1.2591341367078621}
30,{'mean_absolute_error': 1.3651119022895741},{'mean_absolute_error': 1.2891809952557463}
31,{'mean_absolute_error': 1.3260591999115803},{'mean_absolute_error': 1.2697531894405272}
32,{'mean_absolute_error': 1.5648477342305602},{'mean_absolute_error': 1.4921483475774322}
33,{'mean_absolute_error': 1.8743891785539832},{'mean_absolute_error': 1.8058751717207644}
34,{'mean_absolute_error': 1.467588136503169},{'mean_absolute_error': 1.4183427779267872}
35,{'mean_absolute_error': 1.5137853712188176},{'mean_absolute_error': 1.466288810995392}
36,{'mean_absolute_error': 1.3890049999679324},{'mean_absolute_error': 1.3659483233743368}
37,{'mean_absolute_error': 1.4062211043770791},{'mean_absolute_error': 1.3510387695010377}
38,{'mean_absolute_error': 1.547495542339943},{'mean_absolute_error': 1.4783994306306807}
39,{'mean_absolute_error': 1.3411896325083479},{'mean_absolute_error': 1.3424119622188195}
40,{'mean_absolute_error': 1.3629897219697529},{'mean_absolute_error': 1.3659846260097785}
41,{'mean_absolute_error': 1.4445581132789211},{'mean_absolute_error': 1.4323118530573338}
42,{'mean_absolute_error': 1.3736498802748702},{'mean_absolute_error': 1.3930064148433396}
43,{'mean_absolute_error': 1.348640809868635},{'mean_absolute_error': 1.3913153204559814}
44,{'mean_absolute_error': 1.364049588904412},{'mean_absolute_error': 1.401851757059571}
45,{'mean_absolute_error': 1.6691855888317233},{'mean_absolute_error': 1.6400617820902639}
46,{'mean_absolute_error': 1.4523301535758666},{'mean_absolute_error': 1.471059101804217}
47,{'mean_absolute_error': 1.3895093276930677},{'mean_absolute_error': 1.4264181488111953}
48,{'mean_absolute_error': 1.7395542546836795},{'mean_absolute_error': 1.7029310499376475}
49,{'mean_absolute_error': 1.4259072210531485},{'mean_absolute_error': 1.4875489678194882}
50,{'mean_absolute_error': 1.336281437759814},{'mean_absolute_error': 1.4261589920705144}
51,{'mean_absolute_error': 1.3124076321803388},{'mean_absolute_error': 1.4088788397447745}
52,{'mean_absolute_error': 1.5792001189976093},{'mean_absolute_error': 1.6026995586032833}
53,{'mean_absolute_error': 1.4899091039054504},{'mean_absolute_error': 1.5506883938661826}
54,{'mean_absolute_error': 1.3511576538794658},{'mean_absolute_error': 1.4810467914234449}
55,{'mean_absolute_error': 1.3457412840865786},{'mean_absolute_error': 1.4808640237843704}
56,{'mean_absolute_error': 1.309468684680482},{'mean_absolute_error': 1.4647933628066785}
57,{'mean_absolute_error': 1.601960476205642},{'mean_absolute_error': 1.6571082908285681}
58,{'mean_absolute_error': 1.4013158163474884},{'mean_absolute_error': 1.515386813968585}
59,{'mean_absolute_error': 1.8887932895003166},{'mean_absolute_error': 1.907362997615896}
60,{'mean_absolute_error': 1.398196687593414},{'mean_absolute_error': 1.5253105187797944}
61,{'mean_absolute_error': 1.6194534905385793},{'mean_absolute_error': 1.6932708561041991}
62,{'mean_absolute_error': 1.6191806074659916},{'mean_absolute_error': 1.677302589961415}
