,train_scores,valid_scores
0,{'mean_absolute_error': 1.3682349558480742},{'mean_absolute_error': 1.3526178581914303}
1,{'mean_absolute_error': 1.3494326955131297},{'mean_absolute_error': 1.3187733936911281}
2,{'mean_absolute_error': 1.3784183068434157},{'mean_absolute_error': 1.3685372963901177}
3,{'mean_absolute_error': 1.332931304741929},{'mean_absolute_error': 1.2973192324567795}
4,{'mean_absolute_error': 1.1745889930190134},{'mean_absolute_error': 1.1550710044325707}
5,{'mean_absolute_error': 1.1054145398083697},{'mean_absolute_error': 1.09598684704697}
6,{'mean_absolute_error': 1.0975808677407766},{'mean_absolute_error': 1.131900921335875}
7,{'mean_absolute_error': 1.0417778421538635},{'mean_absolute_error': 1.0843850573155303}
8,{'mean_absolute_error': 1.0714674002208726},{'mean_absolute_error': 1.1132953315165468}
9,{'mean_absolute_error': 1.0526253788077113},{'mean_absolute_error': 1.0860006642520075}
10,{'mean_absolute_error': 1.0210500092675951},{'mean_absolute_error': 1.0400306211410768}
11,{'mean_absolute_error': 1.1743709742125603},{'mean_absolute_error': 1.1886010232200055}
12,{'mean_absolute_error': 1.0367390786498072},{'mean_absolute_error': 1.0869984606245449}
13,{'mean_absolute_error': 1.1699934660964768},{'mean_absolute_error': 1.232558207425537}
14,{'mean_absolute_error': 1.0293002908256248},{'mean_absolute_error': 1.0849194599697698}
15,{'mean_absolute_error': 1.0302527033605036},{'mean_absolute_error': 1.0701723150793097}
16,{'mean_absolute_error': 0.9998922982100803},{'mean_absolute_error': 1.0430695284300642}
17,{'mean_absolute_error': 0.9805534766766286},{'mean_absolute_error': 1.0480441215296419}
18,{'mean_absolute_error': 0.9700477065782902},{'mean_absolute_error': 1.0426645226770275}
19,{'mean_absolute_error': 0.9989409144531934},{'mean_absolute_error': 1.0786196815859055}
20,{'mean_absolute_error': 1.0056944123471896},{'mean_absolute_error': 1.1185671563037614}
21,{'mean_absolute_error': 0.9831698965254733},{'mean_absolute_error': 1.0955799226469125}
22,{'mean_absolute_error': 1.0125266092285792},{'mean_absolute_error': 1.1144032395091288}
23,{'mean_absolute_error': 0.9559279668265454},{'mean_absolute_error': 1.08965079749988}
24,{'mean_absolute_error': 0.9504080812061402},{'mean_absolute_error': 1.0509089213085536}
25,{'mean_absolute_error': 0.9484143828421339},{'mean_absolute_error': 1.034094783976611}
26,{'mean_absolute_error': 0.9696711132408061},{'mean_absolute_error': 1.0445492993296641}
27,{'mean_absolute_error': 0.9439737035247717},{'mean_absolute_error': 1.0719830032767388}
28,{'mean_absolute_error': 0.9868505588266804},{'mean_absolute_error': 1.0822145698210135}
29,{'mean_absolute_error': 0.9213826575953403},{'mean_absolute_error': 1.0697026658020705}
30,{'mean_absolute_error': 1.0582123087572783},{'mean_absolute_error': 1.1709627934978062}
31,{'mean_absolute_error': 0.9710213753260222},{'mean_absolute_error': 1.1959736742312066}
32,{'mean_absolute_error': 0.9131911307049353},{'mean_absolute_error': 1.0665892341878171}
33,{'mean_absolute_error': 0.8670483219323654},{'mean_absolute_error': 1.0731201638453969}
34,{'mean_absolute_error': 0.9307154522080822},{'mean_absolute_error': 1.1878032896147392}
35,{'mean_absolute_error': 1.0099534927508875},{'mean_absolute_error': 1.2099157591956218}
36,{'mean_absolute_error': 0.9047290478656856},{'mean_absolute_error': 1.099439339563377}
37,{'mean_absolute_error': 0.8647165227774309},{'mean_absolute_error': 1.0511403909105643}
38,{'mean_absolute_error': 0.8609403692560419},{'mean_absolute_error': 1.1422463655307704}
39,{'mean_absolute_error': 0.8485947400534728},{'mean_absolute_error': 1.155976820971559}
40,{'mean_absolute_error': 0.8422161984806675},{'mean_absolute_error': 1.1163616345385348}
41,{'mean_absolute_error': 0.8203869180778945},{'mean_absolute_error': 1.1415023864694662}
42,{'mean_absolute_error': 0.7859411048416669},{'mean_absolute_error': 1.1338165518869896}
43,{'mean_absolute_error': 0.7904253181571849},{'mean_absolute_error': 1.1127437884646072}
44,{'mean_absolute_error': 0.7860144684134637},{'mean_absolute_error': 1.0759084916103872}
45,{'mean_absolute_error': 0.7796680201323708},{'mean_absolute_error': 1.0887374523873485}
46,{'mean_absolute_error': 0.7416124875326278},{'mean_absolute_error': 1.1212302604722066}
47,{'mean_absolute_error': 0.7116986536696306},{'mean_absolute_error': 1.1457520868879838}
48,{'mean_absolute_error': 0.7024188028047287},{'mean_absolute_error': 1.1693092656173658}
49,{'mean_absolute_error': 0.6756872558463856},{'mean_absolute_error': 1.1344691148231123}
50,{'mean_absolute_error': 0.6671929546321395},{'mean_absolute_error': 1.1372436976875024}
51,{'mean_absolute_error': 0.6455426235321661},{'mean_absolute_error': 1.151997830603193}
52,{'mean_absolute_error': 0.6177481379764711},{'mean_absolute_error': 1.1149894185042166}
53,{'mean_absolute_error': 0.6149444733733374},{'mean_absolute_error': 1.16568250873222}
54,{'mean_absolute_error': 0.6590610566239355},{'mean_absolute_error': 1.152238845070222}
55,{'mean_absolute_error': 0.656452947613449},{'mean_absolute_error': 1.1787486409106491}
56,{'mean_absolute_error': 0.6305070590706464},{'mean_absolute_error': 1.1644680464389625}
57,{'mean_absolute_error': 0.5825702183559965},{'mean_absolute_error': 1.1115384153577696}
58,{'mean_absolute_error': 0.5765962489613106},{'mean_absolute_error': 1.1176550853223657}
59,{'mean_absolute_error': 0.5891328967904041},{'mean_absolute_error': 1.056788836751268}
60,{'mean_absolute_error': 0.5696530481741588},{'mean_absolute_error': 1.1293642546887144}
61,{'mean_absolute_error': 0.5583311613524903},{'mean_absolute_error': 1.0867472837058516}
62,{'mean_absolute_error': 0.5073856984137182},{'mean_absolute_error': 1.1804178469588373}
63,{'mean_absolute_error': 0.5119110279136956},{'mean_absolute_error': 1.1151501967348445}
64,{'mean_absolute_error': 0.5268292269533859},{'mean_absolute_error': 1.1575173791417688}
65,{'mean_absolute_error': 0.5118120479196917},{'mean_absolute_error': 1.0829197069040437}
66,{'mean_absolute_error': 0.545750024679217},{'mean_absolute_error': 1.2093355026061718}
67,{'mean_absolute_error': 0.4846377809000331},{'mean_absolute_error': 1.178375714538394}
68,{'mean_absolute_error': 0.5228844645189495},{'mean_absolute_error': 1.1057431510029037}
69,{'mean_absolute_error': 0.510992989126249},{'mean_absolute_error': 1.1365601783819719}
70,{'mean_absolute_error': 0.4605922878732671},{'mean_absolute_error': 1.1459821236468442}
71,{'mean_absolute_error': 0.5032749488319266},{'mean_absolute_error': 1.170601835573714}
72,{'mean_absolute_error': 0.45053069469715934},{'mean_absolute_error': 1.140290806102928}
73,{'mean_absolute_error': 0.40909415037778113},{'mean_absolute_error': 1.1470350628426704}
74,{'mean_absolute_error': 0.5383808923461676},{'mean_absolute_error': 1.1905517421844187}
75,{'mean_absolute_error': 0.4321084112166247},{'mean_absolute_error': 1.1668472136998986}
76,{'mean_absolute_error': 0.39564150113803986},{'mean_absolute_error': 1.144285892152552}
77,{'mean_absolute_error': 0.3986477320256052},{'mean_absolute_error': 1.151067846783563}
78,{'mean_absolute_error': 0.4620741911288477},{'mean_absolute_error': 1.1077763870720716}
79,{'mean_absolute_error': 0.42933632564171276},{'mean_absolute_error': 1.169265171335057}
80,{'mean_absolute_error': 0.41042196507102185},{'mean_absolute_error': 1.137937503408805}
81,{'mean_absolute_error': 0.42363429254867957},{'mean_absolute_error': 1.1219699369634057}
82,{'mean_absolute_error': 0.41943583865549955},{'mean_absolute_error': 1.085705195279881}
83,{'mean_absolute_error': 0.3952155022038212},{'mean_absolute_error': 1.0958192935840672}
84,{'mean_absolute_error': 0.47926812939528907},{'mean_absolute_error': 1.1270843318720887}
85,{'mean_absolute_error': 0.37986645652554685},{'mean_absolute_error': 1.1316916691726502}
86,{'mean_absolute_error': 0.383832469673309},{'mean_absolute_error': 1.1392460481458992}
87,{'mean_absolute_error': 0.3836237813377067},{'mean_absolute_error': 1.1314885411999762}
88,{'mean_absolute_error': 0.3716720912809644},{'mean_absolute_error': 1.153872773131668}
