,train_mean,train_eiso,train_riso,train_vert,valid_mean,valid_eiso,valid_riso,valid_vert
0,3.495549431,8.105914547,2.28271256,0.098021187,5.270206917,13.94104119,1.777721083,0.091858474
1,3.495104589,8.105027389,2.282382119,0.097904259,5.269756784,13.94413267,1.773535483,0.091602201
2,3.495649807,8.10880633,2.280361371,0.097781719,5.279245781,13.97249831,1.77279297,0.092446065
3,3.493061851,8.104609032,2.276948421,0.097628101,5.277665444,13.95873019,1.781482362,0.092783779
4,3.493018324,8.104514783,2.277192359,0.097347829,5.266106055,13.9401325,1.7659033,0.092282365
5,3.493893118,8.108968659,2.275724234,0.096986461,5.260285881,13.92924415,1.760038764,0.091574727
6,3.489447163,8.102572244,2.269189527,0.096579717,5.271510009,13.94524498,1.778327301,0.090957747
7,3.488299526,8.103290952,2.26542092,0.096186705,5.260442897,13.9347608,1.754977117,0.09159077
8,3.485519949,8.100903179,2.260180772,0.095475897,5.259020442,13.94258904,1.744014533,0.090457755
9,3.481475533,8.100028933,2.249958903,0.094438763,5.259467359,13.94685186,1.742411067,0.089139151
10,3.476814794,8.099426894,2.237893056,0.093124433,5.258955402,13.94879822,1.73813109,0.089936898
11,3.471963023,8.098595538,2.225841725,0.091451806,5.247961956,13.93995208,1.715254244,0.088679547
12,3.468093179,8.098083189,2.216457091,0.089739256,5.241116221,13.94429462,1.69261159,0.086442452
13,3.461450095,8.098878161,2.19761795,0.087854175,5.233776131,13.92709696,1.687415811,0.086815622
14,3.452763143,8.093264589,2.178767504,0.086257337,5.230811013,13.93476591,1.670380825,0.087286305
15,3.447033329,8.089263669,2.167016521,0.084819797,5.21725799,13.92051454,1.644987937,0.086271492
16,3.436841933,8.085005519,2.141907749,0.083612532,5.215087169,13.9221965,1.63711849,0.085946513
17,3.431000217,8.085435682,2.12478343,0.082781538,5.201535427,13.90295587,1.616924488,0.084725925
18,3.423086451,8.086819269,2.100456043,0.08198404,5.198429241,13.89105091,1.618275292,0.085961518
19,3.414520217,8.077476725,2.08551322,0.080570704,5.199777832,13.89771389,1.616642418,0.084977185
20,3.408806206,8.074579791,2.072406497,0.079432331,5.193057238,13.88660373,1.608360242,0.084207745
21,3.407528151,8.083993639,2.059622055,0.078968759,5.185194738,13.86831818,1.601842225,0.085423808
22,3.397592964,8.064338465,2.050432743,0.078007685,5.187174174,13.88219036,1.596141604,0.083190558
23,3.388939133,8.063119528,2.026303228,0.077394643,5.189268563,13.88271609,1.599341611,0.08574799
24,3.395468023,8.075017241,2.035297815,0.076089012,5.176356049,13.85668026,1.588882781,0.083505111
25,3.38158734,8.064068532,2.005627305,0.075066183,5.183908336,13.86556007,1.601362306,0.08480263
26,3.381057988,8.058014261,2.011144992,0.074014711,5.178567419,13.85863058,1.593475222,0.083596456
27,3.375537711,8.051762972,2.001019249,0.073830912,5.178894098,13.85895531,1.593872746,0.08385424
28,3.363033349,8.043622517,1.971799071,0.073678459,5.187210111,13.86691611,1.60968624,0.085027978
29,3.365187539,8.044442857,1.978346891,0.072772871,5.180439411,13.85840939,1.599820196,0.083088645
30,3.353721141,8.033431183,1.955343217,0.072389025,5.185016302,13.86454281,1.605708114,0.084797981
31,3.353400885,8.030112723,1.958138256,0.071951677,5.184024153,13.86358432,1.604798219,0.083689924
32,3.348674708,8.02780772,1.946414414,0.071801989,5.188635693,13.87012011,1.610570877,0.085216098
33,3.34312927,8.022922198,1.935675544,0.070790067,5.196384168,13.88570835,1.618769158,0.084674992
34,3.342410683,8.023803893,1.933074069,0.070354086,5.199324426,13.88866256,1.624543213,0.084767505
35,3.341388275,8.025994141,1.928273858,0.069896824,5.199166809,13.88744464,1.624958235,0.085097555
36,3.333469243,8.022915163,1.907634493,0.069858073,5.198634011,13.88121906,1.627727643,0.086955327
37,3.326751045,8.016419627,1.894847215,0.068986294,5.206229589,13.89964282,1.633154476,0.085891468
38,3.336812781,8.028522669,1.912805482,0.069110191,5.205062418,13.89349541,1.636868214,0.084823632
39,3.325250125,8.026833816,1.880507368,0.06840919,5.208055609,13.90005444,1.63896757,0.085144818
40,3.320589406,8.019957267,1.874132697,0.067678255,5.215374631,13.91652644,1.643786089,0.08581136
41,3.322538716,8.024533901,1.876053831,0.067028416,5.214928099,13.90812352,1.65039593,0.086264846
42,3.329211261,8.04953113,1.87111776,0.066984893,5.212047588,13.88692716,1.662487119,0.086728487
43,3.314644523,8.017499503,1.859961299,0.066472769,5.222610527,13.91232521,1.670991112,0.084515258
44,3.31587125,8.030113562,1.850778891,0.066721298,5.220467412,13.8995609,1.675597069,0.086244265
45,3.308856125,8.018824152,1.841444391,0.066299832,5.227271175,13.91594556,1.679863938,0.086004029
46,3.308416338,8.020450326,1.839212266,0.065586422,5.232150677,13.92384815,1.687376243,0.085227639
47,3.296581681,8.012923508,1.811671937,0.065149599,5.240376381,13.94122301,1.695294917,0.084611218
48,3.299285216,8.020867143,1.812381412,0.064607093,5.236825893,13.93207789,1.693149659,0.085250133
49,3.313159549,8.019176841,1.855630989,0.064670816,5.239461455,13.93379336,1.700481906,0.084109098
50,3.303061083,8.014253627,1.830829546,0.064100075,5.238134222,13.92977213,1.700071778,0.084558759
51,3.297645932,8.011392781,1.817611784,0.063933232,5.242116499,13.93282824,1.709075192,0.084446062
52,3.297444679,8.012850421,1.816236715,0.063246901,5.244438437,13.93276275,1.71537431,0.085178253
53,3.285205281,8.009459735,1.783653043,0.062503067,5.251979887,13.93647219,1.732810258,0.086657216
54,3.278623952,8.002224744,1.771434924,0.062212188,5.257896763,13.94871622,1.739612141,0.085361926
55,3.287108876,8.017163685,1.781992786,0.062170158,5.254074316,13.942111,1.734909887,0.085202064
56,3.297916753,8.0394439,1.792147843,0.062158515,5.250149192,13.93789891,1.727115044,0.08543362
57,3.279406242,8.015542604,1.761983731,0.060692391,5.261953529,13.97247498,1.727925311,0.085460297
58,3.267187656,8.01182441,1.729737587,0.06000097,5.276355782,13.9891116,1.752737817,0.087217933
59,3.282574361,8.035901855,1.750721635,0.061099594,5.271663118,13.97527742,1.753902671,0.085809259
60,3.266927967,8.015803503,1.724971524,0.060008873,5.279112431,13.99893142,1.752717867,0.085688012
61,3.263880004,8.02498243,1.707230306,0.059427276,5.275759576,13.98544245,1.756029452,0.085806824
62,3.271512903,8.035518449,1.719527972,0.059492287,5.276860087,13.98655303,1.757852542,0.086174686
63,3.265658308,8.026799645,1.711046401,0.059128878,5.280349507,13.99748969,1.757985644,0.085573187
64,3.259361543,8.019531098,1.700062514,0.058491018,5.270860468,13.98246002,1.74489066,0.085230727
65,3.251959846,8.014041617,1.684441626,0.057396294,5.26803157,13.97657261,1.741719693,0.085802403
66,3.263179079,8.009694124,1.721738533,0.05810458,5.264838237,13.9858684,1.724361539,0.084284767
67,3.243067027,8.006640288,1.665414208,0.057146584,5.269237785,13.98069695,1.742003767,0.085012636
68,3.227311818,8.000693906,1.624774984,0.056466565,5.273936293,13.97814912,1.758322784,0.085336976
