,train_mean,train_eiso,train_riso,train_vert,valid_mean,valid_eiso,valid_riso,valid_vert
0,-79.51684182560932,-86.1026031555832,-99.7022656211462,-52.745656700098536,-435.8756176678826,-1081.4418926774356,-174.5112965994257,-51.67366372678632
1,-32.29828141328459,-17.337422100145876,-16.00479055298547,-63.55263158672244,-121.86920552372567,-265.3069004664751,-27.93875161073835,-72.36196449396358
2,-8.721337736701448,-7.218295133471203,-13.875315747152369,-5.070402329480774,-37.45702228174029,-84.43280044402735,-23.654727567045718,-4.283538834147809
3,-4.3463760469957675,-3.2332967189508235,-4.013529027582659,-5.79230239445382,-19.541428506641207,-45.08605896105933,-6.626135674900538,-6.912090883963749
4,-3.9060538273765597,-2.6862370207509163,-3.561697584223161,-5.470226877155602,-17.67129096070358,-40.39237787600397,-5.759298023665598,-6.862196982441169
5,-2.8115701444990684,-2.106057657513092,-4.092213494843183,-2.236439281140929,-13.455152428045631,-30.39796523364278,-7.660872549963534,-2.30661950053058
6,-2.2442252406319776,-1.8749390281941332,-2.171811516046664,-2.685925177655135,-10.674530236049476,-24.353047089251795,-3.881439708656484,-3.789103910240148
7,-1.8276090694704024,-1.5654322981820856,-1.8437872859578914,-2.07360762427123,-10.108754390237907,-23.6308045060605,-3.674669778608248,-3.0207888860449774
8,-1.47263221068551,-1.329486482393341,-1.705349165677453,-1.3830609839857364,-8.712240959815878,-20.58359657948471,-3.7191050017833955,-1.834021298179529
9,-1.2102605504918336,-1.1483653291296423,-1.2653714989391616,-1.2170448234066966,-7.376760582639288,-17.527661344672115,-2.8521240294564203,-1.7504963737893289
10,-1.101943085250732,-0.9892605128859684,-1.2010103818445494,-1.1155583610216775,-6.932901561289298,-15.932183373923397,-3.053491482168556,-1.8130298277759387
11,-0.9192498170581328,-0.850490139912075,-1.032451721237687,-0.8748075900246364,-6.088013904585872,-14.0829955757205,-2.8043838265413648,-1.376662311495752
12,-0.8104257861350564,-0.7549162288480702,-0.8816868005685055,-0.7946743289885934,-5.526281963421094,-12.883976393172027,-2.5386467267465065,-1.1562227703447472
13,-0.7808070915021967,-0.6625659915522732,-0.9940988557056971,-0.6857564272486198,-5.401394020850916,-12.158161145576653,-2.9784583623162098,-1.0675625546598866
14,-0.6894366877045724,-0.5920667652631284,-0.8998775834408494,-0.5763657144097392,-4.680958246662483,-10.250809703064837,-2.8202624248406094,-0.9718026120820029
15,-0.556936201430802,-0.5053142613730786,-0.6280788511569226,-0.537415491762405,-4.218416029089375,-9.699734286773918,-2.1769272392158916,-0.7785865612783129
16,-0.5132066607973426,-0.4718768766980801,-0.6199961586942262,-0.4477469469997215,-4.402600634407138,-10.2389317209142,-2.2069862728295138,-0.7618839094776995
17,-0.44614750547861576,-0.37617132941000175,-0.5133780354651691,-0.44889315156067644,-3.5367647828645628,-8.070898367843709,-1.874931618547652,-0.6644643622023279
