,train_losses,valid_losses
0,4.11359036,0.87794797
1,0.36718961,-1.23549682
2,4.12150885,0.88241501
3,4.26515744,0.96345101
4,0.55092048,-1.13184933
5,4.6995046,1.20847786
6,2.37903168,-0.10056293
7,0.52335541,-1.14739952
8,3.53703681,0.55269871
9,4.00183345,0.81490291
10,5.02590444,1.39260873
11,2.51481619,-0.02396326
12,2.26371009,-0.16561893
13,0.91664068,-0.92553679
14,0.97952605,-0.89006147
15,1.89899671,-0.37136349
16,5.84172716,1.85283613
17,3.23444688,0.38199964
18,2.85607342,0.16854906
19,4.65022489,1.18067786
20,1.61439346,-0.53191579
21,2.99463348,0.24671449
22,2.75672487,0.11250389
23,4.10847463,0.87506205
24,3.92262128,0.77021721
25,2.49318319,-0.03616702
26,1.14233141,-0.79821862
27,2.14778985,-0.23101263
28,2.79492957,0.13405618
29,-1.95306561,-2.5444148
30,1.7495249,-0.45568454
31,2.44237965,-0.06482665
32,-1.2583877,-2.15252843
33,2.28292129,-0.15478138
34,2.82788248,0.1526458
35,1.64560485,-0.51430861
36,0.97198851,-0.89431359
37,2.71460174,0.0887411
38,-1.86675129,-2.49572259
39,1.93162309,-0.35295808
40,2.11203417,-0.25118337
41,3.83290554,0.71960617
42,-1.32268806,-2.18880198
43,2.04109424,-0.29120248
44,3.64101128,0.61135349
45,0.20120053,-1.32913569
46,5.96186516,1.92060919
47,1.72732046,-0.46821065
48,1.81709062,-0.41756891
49,2.24664859,-0.17524378
50,3.79973494,0.70089374
51,2.9165914,0.20268887
52,5.83106032,1.84681868
53,3.28941376,0.41300793
54,-2.73169045,-2.98365789
55,2.47691082,-0.0453467
56,-0.88461295,-1.9416721
57,1.45673105,-0.62085737
58,3.70827768,0.64930026
59,3.27575367,0.40530191
60,2.10093195,-0.25744643
61,3.84131384,0.72434952
62,2.20713775,-0.1975329
63,1.89665653,-0.37268365
64,2.6602063,0.05805518
65,3.66057623,0.62239059
66,4.34630161,1.00922661
67,1.15253565,-0.79246213
68,0.54523331,-1.13505761
69,2.60246387,0.02548113
70,4.24902112,0.95434809
71,4.70807617,1.21331331
72,3.31227127,0.42590246
73,3.38266697,0.46561455
74,2.89982923,0.19323288
75,4.51052195,1.10186769
76,0.30498453,-1.27058837
77,2.62349822,0.03734718
78,1.28685075,-0.71669139
79,3.13833649,0.3277812
80,0.14783913,-1.35923829
81,2.58104856,0.01340018
82,2.64012434,0.04672641
83,3.14432298,0.33115834
84,6.95268391,2.47955653
85,2.53753765,-0.01114548
86,3.4742875,0.51730014
87,5.13972941,1.45682044
88,1.41765559,-0.64290089
89,5.45938084,1.63714435
90,2.38384809,-0.09784587
91,3.68637256,0.636943
92,3.15251359,0.33577888
93,1.23226483,-0.74748477
94,3.24277355,0.38669694
95,3.8597087,0.73472655
96,5.10642275,1.43803126
97,2.23864846,-0.17975686
98,-0.80107418,-1.89454565
99,3.10271686,0.30768722
