,train_mean,train_riso,train_eiso,train_vert,valid_mean,valid_riso,valid_eiso,valid_vert,(3,50,0.2, 1e-05),,mean rms:
0,4.111672856,10.47336814,1.730074348,0.131576082,4.251005374,10.86446115,1.746238391,0.142316585,,,,,,2.800071824
1,3.981189151,10.13831144,1.677377554,0.127878461,4.121430669,10.53208839,1.693170233,0.139033388,,,,,,eiso rms:
2,3.864072834,9.838300645,1.62887258,0.125045275,4.009664212,10.24708265,1.645119264,0.136790725,,,,,,7.131202027
3,3.763691714,9.582881804,1.586039639,0.122153699,3.912761214,10.00035653,1.60370365,0.134223458,,,,,,riso rms:
4,3.680248205,9.372106827,1.548832171,0.119805617,3.833313057,9.801449919,1.566147439,0.132341814,,,,,,1.155595394
5,3.606004508,9.182880679,1.517447798,0.117685049,3.762327544,9.62089764,1.535522222,0.130562768,,,,,,vert rms:
6,3.532970897,8.995022768,1.488186363,0.115703561,3.686922371,9.426943274,1.505070888,0.12875295,,,,,,0.113418051
7,3.478787453,8.859163274,1.463086293,0.114112791,3.632868534,9.291209205,1.480105669,0.127290728,,,,,,
8,3.41278909,8.684425621,1.441376222,0.112565425,3.572087052,9.13123179,1.458891262,0.126138105,,,,,,
9,3.365962833,8.563752497,1.422841404,0.111294599,3.528039223,9.018367705,1.440625893,0.125124072,,,,,,mean r2:
10,3.325524406,8.459793929,1.406710803,0.110068486,3.48556518,8.909491595,1.423206381,0.123997564,,,,,,0.154842801
11,3.284242482,8.35402672,1.389644053,0.109056675,3.448594553,8.815499833,1.407043164,0.123240661,,,,,,eiso r2:
12,3.250109159,8.262785976,1.379350345,0.108191155,3.413181627,8.719801081,1.397439832,0.122303968,,,,,,-5.94E-05
13,3.234854589,8.229248968,1.367926017,0.107388781,3.403310929,8.701951642,1.386091818,0.121889325,,,,,,riso r2:
14,3.191050461,8.112915655,1.353639403,0.106596326,3.35949769,8.586720711,1.370551033,0.121221325,,,,,,0.330996769
15,3.166143799,8.045282812,1.347306605,0.10584198,3.335068031,8.519611998,1.365141081,0.120451013,,,,,,vert r2:
16,3.156978109,8.029936873,1.335558412,0.105439041,3.322020733,8.49361612,1.352506787,0.119939293,,,,,,0.133591026
17,3.133108748,7.965375273,1.329122035,0.104828936,3.300800366,8.437451556,1.345458904,0.119490638,,,,,,eiso:
18,3.105573583,7.891368414,1.321099452,0.104252884,3.275414031,8.369176004,1.337929532,0.119136556,,,,,,7.33797854
19,3.090707805,7.853164978,1.31517312,0.103785316,3.262870565,8.337368154,1.332541409,0.118702132,,,,,,9.960570918
20,3.07903827,7.824765372,1.308815915,0.103533523,3.253210468,8.315277798,1.325678824,0.118674782,,,,,,5.526487692
21,3.070075239,7.800957257,1.305977114,0.103291346,3.243648327,8.290128921,1.322227031,0.118589029,,,,,,riso:
22,3.051993458,7.753476809,1.299759827,0.102743737,3.226219388,8.243577697,1.317210735,0.117869732,,,,,,1.070770589
