id, FailedMolecules, FailedReason, smiles, eiso
0, 1189744, Negativeisomerization, Cc1ccc(\N=N/c2cc(-c3ccccc3)ccc2-c2ccccc2)c(C(=O)O)c1C(=O)O, -1.95306561
1, 983368, Negativeisomerization, COc1cc(C(=O)O)cc(\N=N/c2c(F)cccc2C(=O)O)c1OC, -1.258387705
2, 1171853, Negativeisomerization, Cc1c(\N=N/c2c(C(=O)O)cccc2-c2ccccc2)cc(C(=O)O)cc1-c1ccccc1, -1.866751288
3, 80085, Negativeisomerization, Cc1cc(C(=O)O)c(C)cc1\N=N/c1ccccc1-c1ccccc1, -1.322688065
4, 242827, Negativeisomerization, COc1cccc(\N=N/c2c(-c3ccccc3)ccc(F)c2C)c1OC, -2.731690451
5, 307217, Negativeisomerization, COc1ccc(C(=O)O)c(\N=N/c2c(OC)cc(C(=O)O)cc2C(=O)O)c1, -0.88461295
6, 177760, Negativeisomerization, COc1c(-c2ccccc2)ccc(F)c1\N=N/c1ccccc1, -0.801074184
7, 1173953, Negativeisomerization, O=C(O)c1cc(F)c(C(=O)O)c(\N=N/c2c(C(=O)O)cccc2-c2ccccc2)c1, -1.947024696
8, 656239, Negativeisomerization, COc1cc(C(=O)O)ccc1\N=N/c1c(F)ccc(C(=O)O)c1C(=O)O, -3.48664144
9, 721477, Negativeisomerization, N#Cc1c(-c2ccccc2)ccc(C(=O)O)c1\N=N/c1cc(C(=O)O)ccc1C(=O)O, -2.639525695
10, 1036155, Negativeisomerization, Cc1ccc(C#N)c(\N=N/c2cccc(F)c2C(=O)O)c1C(=O)O, -1.335205274
11, 1050335, Negativeisomerization, COc1ccc(-c2ccccc2)c(\N=N/c2c(C)cc(F)cc2C(=O)O)c1, -1.418145391
12, 83438, Negativeisomerization, N#Cc1cc(\N=N/c2ccccc2-c2ccccc2)ccc1-c1ccccc1, -0.741127636
13, 30155, Negativeisomerization, COc1ccc(C)c(\N=N/c2ccccc2C(=O)O)c1C(=O)O, -0.151022851
14, 759627, Negativeisomerization, N#Cc1cc(C#N)c(\N=N/c2cccc(-c3ccccc3)c2C(=O)O)cc1F, -0.11360728
15, 759909, Negativeisomerization, COc1cc(C)c(C(=O)O)c(\N=N/c2cccc(-c3ccccc3)c2C(=O)O)c1, -2.559850936
16, 1058978, Negativeisomerization, COc1cc(C)c(F)c(\N=N/c2cccc(-c3ccccc3)c2OC)c1, -2.225940772
17, 289176, Negativeisomerization, COc1ccc(C(=O)O)c(\N=N/c2cc(OC)cc(-c3ccccc3)c2OC)c1, -0.418510172
