,train_losses,valid_losses
0,{'mean_absolute_error': 3.125251230015382},{'mean_absolute_error': 3.1564638885688336}
1,{'mean_absolute_error': 3.0399765914459076},{'mean_absolute_error': 3.077018825034812}
2,{'mean_absolute_error': 2.988603034706238},{'mean_absolute_error': 3.0282286830823564}
3,{'mean_absolute_error': 2.9597844272625773},{'mean_absolute_error': 3.0041719886737175}
4,{'mean_absolute_error': 2.8827235717950863},{'mean_absolute_error': 2.9299720306558155}
5,{'mean_absolute_error': 2.830552788229065},{'mean_absolute_error': 2.8848645989669106}
6,{'mean_absolute_error': 2.7809878748912005},{'mean_absolute_error': 2.840607884806098}
7,{'mean_absolute_error': 2.7328599499629336},{'mean_absolute_error': 2.7992501598963644}
8,{'mean_absolute_error': 2.679225153902751},{'mean_absolute_error': 2.7506230502157467}
9,{'mean_absolute_error': 2.6332997126543742},{'mean_absolute_error': 2.7038525446352706}
10,{'mean_absolute_error': 2.5632229494129404},{'mean_absolute_error': 2.638832300602263}
11,{'mean_absolute_error': 2.520345975264263},{'mean_absolute_error': 2.597965982056754}
12,{'mean_absolute_error': 2.4841164754638685},{'mean_absolute_error': 2.565912093687435}
13,{'mean_absolute_error': 2.425602792378096},{'mean_absolute_error': 2.5096394851918986}
14,{'mean_absolute_error': 2.3734133181019206},{'mean_absolute_error': 2.4610748442439587}
15,{'mean_absolute_error': 2.351840474798296},{'mean_absolute_error': 2.441992834366276}
16,{'mean_absolute_error': 2.312763820550595},{'mean_absolute_error': 2.4059519147030404}
17,{'mean_absolute_error': 2.2804873215094235},{'mean_absolute_error': 2.373521523368067}
18,{'mean_absolute_error': 2.2404679226913524},{'mean_absolute_error': 2.3338878818871445}
19,{'mean_absolute_error': 2.2117211983380924},{'mean_absolute_error': 2.3049999037883695}
20,{'mean_absolute_error': 2.1730919745887785},{'mean_absolute_error': 2.2686815655583894}
21,{'mean_absolute_error': 2.149743088155239},{'mean_absolute_error': 2.245912907979041}
22,{'mean_absolute_error': 2.104308491697074},{'mean_absolute_error': 2.203571424255783}
23,{'mean_absolute_error': 2.0681020578690124},{'mean_absolute_error': 2.1667960026490762}
