,train_losses,valid_losses
0,{'mean_absolute_error': 4.098246880892705},{'mean_absolute_error': 4.334033590370702}
1,{'mean_absolute_error': 4.043000501962441},{'mean_absolute_error': 4.235503925542314}
2,{'mean_absolute_error': 3.8740852756269657},{'mean_absolute_error': 4.030940921812094}
3,{'mean_absolute_error': 3.679369804996841},{'mean_absolute_error': 3.7934007874485176}
4,{'mean_absolute_error': 3.463272197101197},{'mean_absolute_error': 3.5238019002376366}
5,{'mean_absolute_error': 3.314771694694309},{'mean_absolute_error': 3.35978140324641}
6,{'mean_absolute_error': 3.1827729095738215},{'mean_absolute_error': 3.213805796024058}
7,{'mean_absolute_error': 3.099660085292695},{'mean_absolute_error': 3.125666468270526}
8,{'mean_absolute_error': 3.05854469454419},{'mean_absolute_error': 3.112089703819687}
9,{'mean_absolute_error': 3.0249750864618115},{'mean_absolute_error': 3.1032096512578264}
10,{'mean_absolute_error': 3.016990591522697},{'mean_absolute_error': 3.09780155778914}
11,{'mean_absolute_error': 2.9997237479752976},{'mean_absolute_error': 3.080945888257281}
12,{'mean_absolute_error': 2.9982178298311792},{'mean_absolute_error': 3.089393379559559}
13,{'mean_absolute_error': 3.018666452832365},{'mean_absolute_error': 3.0990799590997993}
14,{'mean_absolute_error': 2.9902093828534273},{'mean_absolute_error': 3.052362328058619}
15,{'mean_absolute_error': 2.9491063936321975},{'mean_absolute_error': 3.008631009468017}
16,{'mean_absolute_error': 2.9339388249790987},{'mean_absolute_error': 3.004240088279088}
17,{'mean_absolute_error': 2.912211961815258},{'mean_absolute_error': 2.9929233747588313}
18,{'mean_absolute_error': 2.889515083383866},{'mean_absolute_error': 2.9818432438321243}
19,{'mean_absolute_error': 2.8597235688745535},{'mean_absolute_error': 2.9510125695643183}
20,{'mean_absolute_error': 2.849805087868193},{'mean_absolute_error': 2.931657347999382}
21,{'mean_absolute_error': 2.8009063845925635},{'mean_absolute_error': 2.8895566866927904}
22,{'mean_absolute_error': 2.7799109176448815},{'mean_absolute_error': 2.8702726649769885}
23,{'mean_absolute_error': 2.7613691406698537},{'mean_absolute_error': 2.8315600570450408}
24,{'mean_absolute_error': 2.7172612621677734},{'mean_absolute_error': 2.7553446433235793}
25,{'mean_absolute_error': 2.647140014137824},{'mean_absolute_error': 2.6677197689624257}
