,train_mean,train_riso,train_eiso,train_vert,valid_mean,valid_riso,valid_eiso,valid_vert,,,(3,2048, [256,512, 1024],0.6, 1e-05)
0,3.063504816,7.636406758,1.438513419,0.115594271,3.258712729,8.232494126,1.431763165,0.111880896,,,mean rms:,,,,,,
1,3.0768048,7.664971543,1.448916698,0.11652616,3.270913412,8.25797649,1.441989165,0.112774581,,,2.806523662,,,,,,
2,3.093769216,7.698659316,1.46545394,0.117194391,3.286586806,8.287990413,1.458351721,0.113418285,,,eiso rms:,,,,,,
3,3.085964503,7.677153697,1.463508932,0.117230881,3.279506253,8.268654613,1.456411111,0.113453035,,,7.233836332,,,,,,
4,3.070053907,7.639880103,1.452925125,0.117356494,3.264924932,8.235302399,1.445896597,0.1135758,,,riso rms:,,,,,,
5,3.077748664,7.660928187,1.45423083,0.118086976,3.271826683,8.254042183,1.447151703,0.114286164,,,1.104240533,,,,,,
6,3.08458616,7.676992326,1.459207013,0.117559142,3.278054272,8.2683494,1.452040873,0.113772543,,,vert rms:,,,,,,
7,3.072419405,7.64568783,1.454110885,0.117459502,3.266983936,8.240329978,1.446945883,0.113675947,,,0.081494122,,,,,,
8,3.07052083,7.642453723,1.452123053,0.116985714,3.265153998,8.237335902,1.444908931,0.113217159,,,mean r2:,,,,,,
9,3.057116093,7.61541262,1.439465649,0.11647001,3.252725617,8.213121477,1.4323363,0.112719073,,,0.253997165,,,,,,
10,3.048912709,7.594976385,1.43528461,0.116477131,3.245197333,8.194792409,1.428073799,0.112725792,,,eiso r2:,,,,,,
11,3.049885287,7.603107256,1.430282925,0.116265681,3.245744116,8.201742607,1.422968264,0.112521475,,,0.029992639,,,,,,
12,3.050024645,7.609698872,1.424187463,0.116187601,3.245515491,8.207323941,1.416776774,0.112445758,,,riso r2:,,,,,,
13,3.042745239,7.593843577,1.418200608,0.116191533,3.238672223,8.192911189,1.410658025,0.112447455,,,0.405237976,,,,,,
14,3.031587235,7.583006515,1.396391018,0.115364171,3.227791259,8.182857162,1.38886076,0.111655855,,,vert r2:,,,,,,
15,3.028497057,7.581413726,1.388522696,0.115554748,3.224449069,8.18084745,1.380659909,0.111839846,,,0.32676088,,,,,,
16,3.008917758,7.547581987,1.364226801,0.114944486,3.206016871,8.150529082,1.356259356,0.111262173,,,eiso:,,,,,,
17,3.000232972,7.542448147,1.34314748,0.115103287,3.197247729,8.145385339,1.334952511,0.111405339,,,6.350440701,,,,,,
18,2.991890275,7.539009602,1.321834459,0.114826764,3.188846339,8.141917147,1.31348625,0.111135618,,,7.751179538,,,,,,
19,2.971719949,7.50922301,1.29173871,0.114198127,3.169996187,8.115575981,1.283880224,0.110532355,,,4.391273196,,,,,,
20,2.959803726,7.490309617,1.275388303,0.113713258,3.158958406,8.099249948,1.267560726,0.110064543,,,riso:,,,,,,
21,2.956236326,7.491846421,1.263044633,0.113817925,3.15529,8.100369848,1.25534653,0.110153622,,,0.991033315,,,,,,
22,2.946947654,7.476470119,1.251356882,0.11301596,3.146766214,8.086953523,1.243946987,0.109398131,,,1.071783798,,,,,,
23,2.945578229,7.478820682,1.244948275,0.112965731,3.14530473,8.088929726,1.237650364,0.109334099,,,0.930937185,,,,,,
24,2.940175086,7.467404889,1.240240884,0.112879485,3.140408876,8.078984211,1.233010918,0.109231501,,,vert:,,,,,,
25,2.931262561,7.453737784,1.227663351,0.112386549,3.132510869,8.06739996,1.221373376,0.108759272,,,0.084062053,,,,,,
26,2.929121507,7.45586374,1.219429914,0.112070868,3.130476088,8.06918923,1.213802284,0.10843675,,,0.12915002,,,,,,
27,2.920458522,7.436146887,1.213705451,0.111523228,3.123099918,8.052941775,1.208453581,0.107904399,,,0.056963368,,,,,,
28,2.915057758,7.425128937,1.208982164,0.111062172,3.118566472,8.044206917,1.204030549,0.107461949,,,,,,,,,
29,2.917880297,7.43443967,1.20804779,0.11115343,3.120756973,8.051896946,1.202863478,0.107510495,,,,,,,,,
30,2.911033732,7.422227146,1.200430475,0.110443574,3.115125473,8.042012335,1.196530271,0.106833814,,,,,,,,,
31,2.912281512,7.427140716,1.199626805,0.110077016,3.115877898,8.046046613,1.19512681,0.106460272,,,,,,,,,
32,2.911880676,7.434082868,1.191942554,0.109616605,3.115512669,8.051789425,1.188739031,0.106009551,,,,,,,,,
33,2.905313469,7.417584996,1.18878068,0.109574731,3.110256475,8.038693251,1.186144361,0.105931814,,,,,,,,,
34,2.906601814,7.424311307,1.186407713,0.109086422,3.111194034,8.044399022,1.183735712,0.105447369,,,,,,,,,
35,2.904048463,7.421741422,1.182060909,0.108343058,3.109065536,8.042630474,1.179833963,0.104732172,,,,,,,,,
36,2.900926733,7.415160924,1.179772422,0.107846853,3.106414517,8.037657686,1.177335114,0.10425075,,,,,,,,,
37,2.900496836,7.417710279,1.176311536,0.107468693,3.106179386,8.039638049,1.175021958,0.10387815,,,,,,,,,
