,train_scores_1,valid_scores_1,train_scores_2,valid_scores_2,train_scores_3,valid_scores_3
0,{'mean_absolute_error': 6.091599167389168},{'mean_absolute_error': 6.498447257605173},{'mean_absolute_error': 2.8227918948737662},{'mean_absolute_error': 3.6462909549418465},{'mean_absolute_error': 3.5164958440280736},{'mean_absolute_error': 4.061262110779588}
1,{'mean_absolute_error': 4.307973927860158},{'mean_absolute_error': 4.845646751912515},{'mean_absolute_error': 3.118265551567283},{'mean_absolute_error': 3.564713765225896},{'mean_absolute_error': 2.4685876774912163},{'mean_absolute_error': 3.384547650610659}
2,{'mean_absolute_error': 3.1802200504849036},{'mean_absolute_error': 4.074521407616938},{'mean_absolute_error': 2.9648077808052613},{'mean_absolute_error': 3.4046987556823125},{'mean_absolute_error': 3.0117995879196395},{'mean_absolute_error': 3.951799024208266}
3,{'mean_absolute_error': 2.591114706496941},{'mean_absolute_error': 3.3011627379860933},{'mean_absolute_error': 2.2216686005453425},{'mean_absolute_error': 2.820624424373631},{'mean_absolute_error': 2.7613928117131046},{'mean_absolute_error': 3.427016013141251}
4,{'mean_absolute_error': 2.3147806290141717},{'mean_absolute_error': 3.127903863724936},{'mean_absolute_error': 2.2660362808088177},{'mean_absolute_error': 2.7580432604897744},{'mean_absolute_error': 3.5082461188379495},{'mean_absolute_error': 4.059903997803158}
5,{'mean_absolute_error': 2.321256257924118},{'mean_absolute_error': 3.128693160607666},{'mean_absolute_error': 2.2004427157370485},{'mean_absolute_error': 2.745426719269811},{'mean_absolute_error': 2.8007309916999152},{'mean_absolute_error': 3.466972740284603}
6,{'mean_absolute_error': 2.720773585766295},{'mean_absolute_error': 3.421311476094077},{'mean_absolute_error': 3.0627632304317722},{'mean_absolute_error': 3.5397616514631154},{'mean_absolute_error': 2.364864362501882},{'mean_absolute_error': 3.1832475815069774}
7,{'mean_absolute_error': 2.5727000126394497},{'mean_absolute_error': 3.3070999366544727},{'mean_absolute_error': 2.8296250761429222},{'mean_absolute_error': 3.290183826677761},{'mean_absolute_error': 2.358437675082826},{'mean_absolute_error': 3.276371717778079}
8,{'mean_absolute_error': 4.126965813059543},{'mean_absolute_error': 5.006232864574887},{'mean_absolute_error': 3.740826636854024},{'mean_absolute_error': 4.215605983351912},{'mean_absolute_error': 2.4650745882843736},{'mean_absolute_error': 3.4165813958767033}
9,{'mean_absolute_error': 2.3159991898486605},{'mean_absolute_error': 3.1355444688875953},{'mean_absolute_error': 2.3344315695276},{'mean_absolute_error': 2.84105281921229},{'mean_absolute_error': 2.3048477608707048},{'mean_absolute_error': 3.156263990436587}
10,{'mean_absolute_error': 4.364228333353274},{'mean_absolute_error': 4.919563429979274},{'mean_absolute_error': 3.5028018029690946},{'mean_absolute_error': 3.997114806321113},{'mean_absolute_error': 3.060345196213244},{'mean_absolute_error': 3.6792486272804172}
11,{'mean_absolute_error': 2.438771673179798},{'mean_absolute_error': 3.2271865462474456},{'mean_absolute_error': 3.776101804353358},{'mean_absolute_error': 4.26361488728789},{'mean_absolute_error': 5.343692126654431},{'mean_absolute_error': 5.752888472276376}
12,{'mean_absolute_error': 2.292044247621677},{'mean_absolute_error': 3.1589016960449543},{'mean_absolute_error': 4.687907982919565},{'mean_absolute_error': 5.156662780739698},{'mean_absolute_error': 3.060651455108094},{'mean_absolute_error': 3.679057619062407}
13,{'mean_absolute_error': 2.314473952120368},{'mean_absolute_error': 3.196194242990946},{'mean_absolute_error': 2.7800540924145856},{'mean_absolute_error': 3.280321777567994},{'mean_absolute_error': 3.1885059242870195},{'mean_absolute_error': 3.790545532382485}
14,{'mean_absolute_error': 2.302325565534102},{'mean_absolute_error': 3.150856563791464},{'mean_absolute_error': 2.477103211503508},{'mean_absolute_error': 2.989634276162361},{'mean_absolute_error': 3.2113553059170608},{'mean_absolute_error': 3.8160136972277297}
15,{'mean_absolute_error': 2.481639835852424},{'mean_absolute_error': 3.291218142183891},{'mean_absolute_error': 2.317312514019912},{'mean_absolute_error': 2.8579959461922457},{'mean_absolute_error': 2.5270331270809234},{'mean_absolute_error': 3.3021818556845646}
16,{'mean_absolute_error': 2.291075858971783},{'mean_absolute_error': 3.151488229153111},{'mean_absolute_error': 2.4500372612196295},{'mean_absolute_error': 3.2143196297238545},{'mean_absolute_error': 2.744939187862763},{'mean_absolute_error': 3.4715757223793844}
17,{'mean_absolute_error': 3.151289016996959},{'mean_absolute_error': 3.872579813686619},{'mean_absolute_error': 2.17535717816913},{'mean_absolute_error': 2.8418185333899766},{'mean_absolute_error': 2.307626671024777},{'mean_absolute_error': 3.164189015377236}
18,{'mean_absolute_error': 2.2932867775524413},{'mean_absolute_error': 3.164377500993029},{'mean_absolute_error': 2.1659093794903472},{'mean_absolute_error': 2.831390845016528},{'mean_absolute_error': 2.302276686099891},{'mean_absolute_error': 3.2027904067039277}
19,{'mean_absolute_error': 2.4931650885556236},{'mean_absolute_error': 3.424956691764523},{'mean_absolute_error': 2.359872158421016},{'mean_absolute_error': 2.925491401639825},{'mean_absolute_error': 2.313703289966901},{'mean_absolute_error': 3.1673067092045075}
