,train_scores,valid_scores
0,{'rms_score': 9.556494007418191},{'rms_score': 10.653481549314558}
1,{'rms_score': 11.238716739483936},{'rms_score': 12.022817827255416}
2,{'rms_score': 8.14130211257268},{'rms_score': 9.319821616906154}
3,{'rms_score': 8.309826475146393},{'rms_score': 9.496518492838165}
4,{'rms_score': 8.262828008810164},{'rms_score': 9.40768635050387}
5,{'rms_score': 8.34921813616902},{'rms_score': 9.534668613210405}
6,{'rms_score': 8.282204694788266},{'rms_score': 9.471849961955753}
7,{'rms_score': 8.161853579152002},{'rms_score': 9.332471959631013}
8,{'rms_score': 8.210728908495618},{'rms_score': 9.401023659763473}
9,{'rms_score': 8.186917275600726},{'rms_score': 9.378724109391117}
10,{'rms_score': 8.199027784606416},{'rms_score': 9.391515385052449}
11,{'rms_score': 8.169663889231193},{'rms_score': 9.362701731331054}
12,{'rms_score': 8.339093518623804},{'rms_score': 9.52934094950852}
13,{'rms_score': 8.158671980663161},{'rms_score': 9.352499567869664}
14,{'rms_score': 8.19848187988377},{'rms_score': 9.392761459554999}
15,{'rms_score': 8.178953601091532},{'rms_score': 9.347034839492634}
16,{'rms_score': 8.140688078053387},{'rms_score': 9.325382641463673}
17,{'rms_score': 8.266569852945533},{'rms_score': 9.458908299353755}
18,{'rms_score': 8.318187618337442},{'rms_score': 9.453524151794937}
19,{'rms_score': 8.145355969864195},{'rms_score': 9.336205145711746}
20,{'rms_score': 8.139748526167395},{'rms_score': 9.326184595395139}
21,{'rms_score': 8.324874015539375},{'rms_score': 9.457705517107927}
22,{'rms_score': 8.157841623026027},{'rms_score': 9.349428341594372}
23,{'rms_score': 8.15735398767061},{'rms_score': 9.348951029882011}
24,{'rms_score': 8.18894134518653},{'rms_score': 9.354563296483215}
25,{'rms_score': 8.163219339062714},{'rms_score': 9.336447648343352}
26,{'rms_score': 8.1423702879492},{'rms_score': 9.323093524923861}
27,{'rms_score': 8.140949306843224},{'rms_score': 9.32291409986092}
28,{'rms_score': 8.152985784315815},{'rms_score': 9.327154328106346}
29,{'rms_score': 8.15716392043198},{'rms_score': 9.330951204414864}
30,{'rms_score': 8.169883682254182},{'rms_score': 9.339658777614495}
31,{'rms_score': 8.150321200902432},{'rms_score': 9.341440905202125}
32,{'rms_score': 8.22222470835553},{'rms_score': 9.377639269931011}
33,{'rms_score': 8.195435221560075},{'rms_score': 9.357680114764381}
34,{'rms_score': 8.17340874535607},{'rms_score': 9.341433407420057}
35,{'rms_score': 8.15443567433386},{'rms_score': 9.328765282921594}
36,{'rms_score': 8.15965106543664},{'rms_score': 9.331882913573088}
