,train_scores,valid_scores
0,{'mean_absolute_error': 1.3674947102998702},{'mean_absolute_error': 1.0172975935993975}
1,{'mean_absolute_error': 1.3428950651826614},{'mean_absolute_error': 0.9823211344332429}
2,{'mean_absolute_error': 1.426901437589624},{'mean_absolute_error': 1.0973601510674638}
3,{'mean_absolute_error': 1.401096674500625},{'mean_absolute_error': 1.0481619325931821}
4,{'mean_absolute_error': 1.7089427395359553},{'mean_absolute_error': 1.403927915604819}
5,{'mean_absolute_error': 1.36331449966578},{'mean_absolute_error': 1.0305656171070274}
6,{'mean_absolute_error': 1.4129870349309985},{'mean_absolute_error': 1.0682803476342395}
7,{'mean_absolute_error': 1.357757419421661},{'mean_absolute_error': 1.0138361838317456}
8,{'mean_absolute_error': 1.4054629647915753},{'mean_absolute_error': 1.0525885234688215}
9,{'mean_absolute_error': 1.2968257959135856},{'mean_absolute_error': 0.9377152485642976}
10,{'mean_absolute_error': 1.4419655346626066},{'mean_absolute_error': 1.1287576943938824}
11,{'mean_absolute_error': 1.5159066891492596},{'mean_absolute_error': 1.2079069522259072}
12,{'mean_absolute_error': 1.3533965424388346},{'mean_absolute_error': 0.9839752795242319}
13,{'mean_absolute_error': 1.7501765803221243},{'mean_absolute_error': 1.486220785854672}
14,{'mean_absolute_error': 1.2736794642212044},{'mean_absolute_error': 0.9321996073126576}
15,{'mean_absolute_error': 1.4349995177583195},{'mean_absolute_error': 1.1263382890508868}
16,{'mean_absolute_error': 1.3421156798681004},{'mean_absolute_error': 1.0175376228585236}
17,{'mean_absolute_error': 1.2801202642931224},{'mean_absolute_error': 0.9493119100401931}
18,{'mean_absolute_error': 1.398957118435577},{'mean_absolute_error': 1.101739011897718}
19,{'mean_absolute_error': 1.3030045024728047},{'mean_absolute_error': 0.9977630854878515}
20,{'mean_absolute_error': 1.4730130508612758},{'mean_absolute_error': 1.2034784831192802}
21,{'mean_absolute_error': 1.2999170748654947},{'mean_absolute_error': 0.9560142888698172}
22,{'mean_absolute_error': 1.551180397549566},{'mean_absolute_error': 1.314496866084057}
23,{'mean_absolute_error': 1.2682585224706429},{'mean_absolute_error': 0.9830003426402012}
24,{'mean_absolute_error': 1.2958560945337922},{'mean_absolute_error': 1.0454326152073696}
25,{'mean_absolute_error': 1.3684638228657544},{'mean_absolute_error': 1.1367717251971678}
26,{'mean_absolute_error': 1.310204095188808},{'mean_absolute_error': 1.0940880967237978}
27,{'mean_absolute_error': 1.3637254984830227},{'mean_absolute_error': 1.1639193482888555}
28,{'mean_absolute_error': 1.305527136602479},{'mean_absolute_error': 1.065126468181614}
29,{'mean_absolute_error': 1.4276900739242826},{'mean_absolute_error': 1.2587813583868634}
30,{'mean_absolute_error': 1.32343972912837},{'mean_absolute_error': 1.1272146767144458}
31,{'mean_absolute_error': 1.5016283071690475},{'mean_absolute_error': 1.1917880018632647}
32,{'mean_absolute_error': 1.4002224855534189},{'mean_absolute_error': 1.2172653563179556}
33,{'mean_absolute_error': 1.3247500849077258},{'mean_absolute_error': 1.1032709579412898}
34,{'mean_absolute_error': 1.252779820580176},{'mean_absolute_error': 1.0903792312242617}
35,{'mean_absolute_error': 1.365387298519536},{'mean_absolute_error': 1.168372630435586}
36,{'mean_absolute_error': 1.1828442598199078},{'mean_absolute_error': 1.0607420140249268}
37,{'mean_absolute_error': 1.228860193207438},{'mean_absolute_error': 1.1149322420079733}
38,{'mean_absolute_error': 1.5322567190742877},{'mean_absolute_error': 1.3815092184422528}
39,{'mean_absolute_error': 1.1156231752061705},{'mean_absolute_error': 1.0647861319698135}
40,{'mean_absolute_error': 1.090095711027967},{'mean_absolute_error': 1.106164427837787}
41,{'mean_absolute_error': 1.056867590834832},{'mean_absolute_error': 1.0322294785396202}
42,{'mean_absolute_error': 0.969388556902769},{'mean_absolute_error': 1.0443962294103128}
43,{'mean_absolute_error': 0.9785191731958128},{'mean_absolute_error': 1.0403380658065786}
44,{'mean_absolute_error': 0.9970968877307618},{'mean_absolute_error': 1.0947044636898957}
45,{'mean_absolute_error': 0.9645249035700169},{'mean_absolute_error': 1.03431754454724}
46,{'mean_absolute_error': 0.9278184187019017},{'mean_absolute_error': 1.0103299358289444}
47,{'mean_absolute_error': 0.898803267756963},{'mean_absolute_error': 0.9944236713249963}
48,{'mean_absolute_error': 0.952982884139511},{'mean_absolute_error': 0.9971674431040639}
49,{'mean_absolute_error': 0.8936614482153277},{'mean_absolute_error': 0.9838866770114093}
50,{'mean_absolute_error': 0.9015493581788987},{'mean_absolute_error': 1.0185967077960039}
51,{'mean_absolute_error': 0.9295085673915534},{'mean_absolute_error': 1.003379867756126}
52,{'mean_absolute_error': 0.9212810605157534},{'mean_absolute_error': 0.9890278458695126}
53,{'mean_absolute_error': 0.8823681943688585},{'mean_absolute_error': 0.9745863648414659}
54,{'mean_absolute_error': 0.873250373435276},{'mean_absolute_error': 0.9691534014107078}
55,{'mean_absolute_error': 0.9183534306586316},{'mean_absolute_error': 0.981512933110272}
56,{'mean_absolute_error': 0.8918943952858269},{'mean_absolute_error': 0.9938884839132415}
57,{'mean_absolute_error': 0.9020059374798836},{'mean_absolute_error': 1.023260207749282}
58,{'mean_absolute_error': 0.9286681715269188},{'mean_absolute_error': 1.0835053424594416}
59,{'mean_absolute_error': 0.8554093309623384},{'mean_absolute_error': 0.9977398854246132}
60,{'mean_absolute_error': 0.9043155903748669},{'mean_absolute_error': 1.0089878837911466}
61,{'mean_absolute_error': 0.858864949080883},{'mean_absolute_error': 1.0116771977590464}
