,train_scores_500,valid_scores_500,train_scores_1000,valid_scores_1000,train_scores_5000,valid_scores_5000,train_scores_7000,valid_scores_7000,train_scores_10000,valid_scores_10000,train_scores_15000,valid_scores_15000
0,{'mean_absolute_error': 1.3682343925009934},{'mean_absolute_error': 1.2982866457455615},{'mean_absolute_error': 1.8085047903858076},{'mean_absolute_error': 1.6363228445766944},{'mean_absolute_error': 1.361299050240607},{'mean_absolute_error': 1.2841315573845598},{'mean_absolute_error': 1.3949339072142102},{'mean_absolute_error': 1.4884840113843902},{'mean_absolute_error': 1.3430240428248208},{'mean_absolute_error': 1.339348451118198},{'mean_absolute_error': 1.3035937701201699},{'mean_absolute_error': 1.3079466518246692}
1,{'mean_absolute_error': 1.3860295127980848},{'mean_absolute_error': 1.2319363449881169},{'mean_absolute_error': 1.4399031191492713},{'mean_absolute_error': 1.3005198528062094},{'mean_absolute_error': 1.426911434754375},{'mean_absolute_error': 1.4319540222032123},{'mean_absolute_error': 1.3140925668470689},{'mean_absolute_error': 1.3668090091152791},{'mean_absolute_error': 1.2606709645425582},{'mean_absolute_error': 1.255338491065192},{'mean_absolute_error': 1.152640113681326},{'mean_absolute_error': 1.153386499658273}
2,{'mean_absolute_error': 1.4766701202584553},{'mean_absolute_error': 1.4232489428630075},{'mean_absolute_error': 1.360778825133639},{'mean_absolute_error': 1.2892343702671867},{'mean_absolute_error': 1.332998305892564},{'mean_absolute_error': 1.2650707130309056},{'mean_absolute_error': 1.2673943963765182},{'mean_absolute_error': 1.324749176687012},{'mean_absolute_error': 1.2851598261064638},{'mean_absolute_error': 1.2816711601208963},{'mean_absolute_error': 1.0818825812611967},{'mean_absolute_error': 1.0762508954568053}
3,{'mean_absolute_error': 1.3705776456018197},{'mean_absolute_error': 1.2214437949511388},{'mean_absolute_error': 1.3634124911315393},{'mean_absolute_error': 1.2961424581723207},{'mean_absolute_error': 1.3192520630315552},{'mean_absolute_error': 1.2804120355202746},{'mean_absolute_error': 1.1792710838814142},{'mean_absolute_error': 1.2553740481031026},{'mean_absolute_error': 1.150882877908963},{'mean_absolute_error': 1.1389088944239893},{'mean_absolute_error': 1.1168577707286442},{'mean_absolute_error': 1.121813397784806}
4,{'mean_absolute_error': 1.3850857049595946},{'mean_absolute_error': 1.3258572276399707},{'mean_absolute_error': 1.3723153331418771},{'mean_absolute_error': 1.3141915848845296},{'mean_absolute_error': 1.2517976655866094},{'mean_absolute_error': 1.1804639899291611},{'mean_absolute_error': 1.2004363445031},{'mean_absolute_error': 1.3135009842714602},{'mean_absolute_error': 1.0847190773328186},{'mean_absolute_error': 1.0677060182484623},{'mean_absolute_error': 1.0595573986875022},{'mean_absolute_error': 1.0572686811598937}
5,{'mean_absolute_error': 1.3483233697979615},{'mean_absolute_error': 1.2459652586418917},{'mean_absolute_error': 1.3956271832565603},{'mean_absolute_error': 1.349062130219577},{'mean_absolute_error': 1.1800080323382212},{'mean_absolute_error': 1.110355969220982},{'mean_absolute_error': 1.085501814267192},{'mean_absolute_error': 1.1414966300992628},{'mean_absolute_error': 1.0581339868388473},{'mean_absolute_error': 1.0406193459176627},{'mean_absolute_error': 1.0358024511132233},{'mean_absolute_error': 1.0364079495152323}
6,{'mean_absolute_error': 1.357493348356196},{'mean_absolute_error': 1.2921750053764518},{'mean_absolute_error': 1.4382525052150137},{'mean_absolute_error': 1.2984967116813293},{'mean_absolute_error': 1.1307649093298968},{'mean_absolute_error': 1.1046486745244695},{'mean_absolute_error': 1.0575203181201818},{'mean_absolute_error': 1.1280920543132047},{'mean_absolute_error': 1.047308806504197},{'mean_absolute_error': 1.035904165408352},{'mean_absolute_error': 1.0618549417022145},{'mean_absolute_error': 1.0672085522041088}
7,{'mean_absolute_error': 1.3441300486107592},{'mean_absolute_error': 1.2527588913987886},{'mean_absolute_error': 1.4430412154039953},{'mean_absolute_error': 1.3016531231194264},{'mean_absolute_error': 1.1050205216113105},{'mean_absolute_error': 1.057582185797887},{'mean_absolute_error': 1.0528498183117854},{'mean_absolute_error': 1.1400627978003242},{'mean_absolute_error': 1.152014487218993},{'mean_absolute_error': 1.1483843318733915},{'mean_absolute_error': 1.0413728344382596},{'mean_absolute_error': 1.0420172389447315}
8,{'mean_absolute_error': 1.358556065984954},{'mean_absolute_error': 1.298664461216866},{'mean_absolute_error': 1.4491036805941364},{'mean_absolute_error': 1.3065300761423173},{'mean_absolute_error': 1.0891601136339732},{'mean_absolute_error': 1.0637148060965589},{'mean_absolute_error': 1.032446489647807},{'mean_absolute_error': 1.107671963090101},{'mean_absolute_error': 1.025914126774717},{'mean_absolute_error': 1.0199920032524892},{'mean_absolute_error': 1.0403442221061951},{'mean_absolute_error': 1.048433721023179}
9,{'mean_absolute_error': 1.340198199258015},{'mean_absolute_error': 1.2407956653063423},{'mean_absolute_error': 1.3568521766211648},{'mean_absolute_error': 1.301781390788298},{'mean_absolute_error': 1.0792386872603499},{'mean_absolute_error': 1.0593635635001948},{'mean_absolute_error': 1.0236924352490553},{'mean_absolute_error': 1.1030164362626316},{'mean_absolute_error': 1.1718847334382967},{'mean_absolute_error': 1.170873262954291},{'mean_absolute_error': 1.0103808349520447},{'mean_absolute_error': 1.0193315055157866}
