,train_mean,train_riso,train_eiso,train_vert,valid_mean,valid_riso,valid_eiso,valid_vert,,,,,,,,,,,,,,,,,,
0,3.019658596,7.524939895,1.420992916,0.113042976,3.219263374,8.134188422,1.414122804,0.109478895,,,(3,2048, [700,700, 700],0.02,0.5,0.0001, 'l2',0.75, [10,10, 10],0.5,0.75, 1e-05)
1,3.025691809,7.545804465,1.418061667,0.113209295,3.224432468,8.152449889,1.411216644,0.109630871,,,,mean rms:,,,,,,,,,,,,,,
2,3.034336157,7.564242487,1.425008276,0.113757707,3.232228399,8.168542997,1.418007434,0.110134766,,,,2.802974529,,,,,,,,,,,,,,
3,3.033959174,7.566817983,1.421273547,0.113785994,3.231704911,8.17069375,1.414261873,0.11015911,,,,eiso rms:,,,,,,,,,,,,,,
4,3.040067129,7.584967654,1.421213816,0.114019918,3.237022623,8.186568289,1.414121566,0.110378014,,,,7.235065821,,,,,,,,,,,,,,
5,3.040695101,7.589728242,1.418359121,0.11399794,3.237402967,8.190666191,1.411185451,0.110357259,,,,riso rms:,,,,,,,,,,,,,,
6,3.043617351,7.598032976,1.418581222,0.114237856,3.239913028,8.197868196,1.411290227,0.110580662,,,,1.093128835,,,,,,,,,,,,,,
7,3.036480415,7.585782539,1.409734872,0.113923834,3.233157469,8.186762722,1.402425846,0.11028384,,,,vert rms:,,,,,,,,,,,,,,
8,3.034707189,7.586796003,1.403229317,0.114096246,3.231175282,8.18729722,1.39578565,0.110442976,,,,0.080728933,,,,,,,,,,,,,,
9,3.027789669,7.576706192,1.392736316,0.113926498,3.224473187,8.177933288,1.385203664,0.11028261,,,,mean r2:,,,,,,,,,,,,,,
10,3.021781574,7.573177012,1.378278401,0.113889308,3.218360301,8.174247917,1.370588062,0.110244923,,,,0.2620516,,,,,,,,,,,,,,
11,3.011990412,7.560685068,1.361590577,0.113695591,3.208773725,8.162578379,1.353682585,0.110060212,,,,eiso r2:,,,,,,,,,,,,,,
12,3.002641902,7.554689505,1.339690337,0.113545864,3.199394341,8.15663749,1.331630007,0.109915525,,,,0.029662879,,,,,,,,,,,,,,
13,2.987944615,7.537337969,1.313055108,0.113440767,3.185116631,8.140551753,1.304993459,0.109804679,,,,riso r2:,,,,,,,,,,,,,,
14,2.975233801,7.523383218,1.289200117,0.113118068,3.172558566,8.127282273,1.28090516,0.109488265,,,,0.417147636,,,,,,,,,,,,,,
15,2.962020666,7.509937342,1.263579623,0.112545034,3.159794192,8.11479789,1.255642354,0.108942331,,,,vert r2:,,,,,,,,,,,,,,
16,2.948785164,7.490785147,1.243286451,0.112283893,3.147551646,8.097657654,1.23631677,0.108680514,,,,0.339344286,,,,,,,,,,,,,,
17,2.939314511,7.477346601,1.228650066,0.111946866,3.138908727,8.085496648,1.222883359,0.108346176,,,,eiso:,,,,,,,,,,,,,,
18,2.938576349,7.478817726,1.22511898,0.111792342,3.137908516,8.086372845,1.219178563,0.10817414,,,,6.283882524,,,,,,,,,,,,,,
19,2.932088064,7.470113514,1.214724862,0.111425815,3.132205052,8.078421354,1.210384347,0.107809455,,,,8.100611897,,,,,,,,,,,,,,
20,2.928473246,7.463983705,1.210285108,0.111150925,3.128989508,8.073143364,1.206298241,0.107526918,,,,4.118614074,,,,,,,,,,,,,,
21,2.924425511,7.458036919,1.204516886,0.110722729,3.125604028,8.068195202,1.201516593,0.107100291,,,,riso:,,,,,,,,,,,,,,
22,2.919954596,7.450798455,1.198726606,0.110338727,3.121936768,8.062093704,1.197007275,0.106709326,,,,0.981344058,,,,,,,,,,,,,,
